RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Merab Dvalishvili,Umar Nurmagomedov,220,-270,True,3.2,0.0,490,5,-2.54,-5.08,5,2,27,1,0,-2,5,0,5,0.56,0.1,1.94,-2,2025-01-18,True,Bantamweight,MALE,5,0,6,6,0,15,0,1,2,6,Orthodox,172.72,175.26,0,11,11,2,42,1,1,0,11,Orthodox,167.64,172.72,34,29,2,0
Jiri Prochazka,Jamahal Hill,102,-120,True,2.02,0.0,222,-1,2.54,-2.54,-3,0,-6,1,-2,1,0,0,-1,-0.58,0.2,0.49,-1,2025-01-18,False,Light Heavyweight,MALE,3,1,0,4,2,21,2,5,0,7,Southpaw,193.04,200.66,1,0,3,2,15,3,3,1,4,Orthodox,190.5,203.2,32,33,3,2
Jailton Almeida,Serghei Spivac,-10000,-10000,True,1.01,0.0,0,4,2.54,0.0,0,-3,-6,0,-1,2,0,0,4,-1.34,1.2,1.82,-1,2025-01-18,False,Heavyweight,MALE,3,0,1,3,4,22,0,3,3,8,Orthodox,190.5,198.12,0,1,7,1,16,0,2,5,8,Orthodox,190.5,200.66,33,29,7,6
Kevin Holland,Reinier de Ridder,106,-124,False,0.0,1.8065,230,-2,7.62,-2.54,13,9,55,0,5,4,-1,1,4,1.77,0.0,-1.77,-6,2025-01-18,False,Middleweight,MALE,3,0,1,1,0,3,0,0,1,1,Southpaw,193.04,198.12,1,0,5,9,58,0,5,5,14,Orthodox,190.5,205.74,32,34,20,14
Payton Talbott,Raoni Barcelos,-1200,750,False,0.0,8.5,-1950,-11,7.62,7.62,-3,-4,-20,0,0,-1,3,0,-1,1.7,-0.4,-1.44,5,2025-01-18,False,Bantamweight,MALE,3,0,1,5,4,29,0,2,2,7,Orthodox,170.18,170.18,0,4,4,0,9,0,2,1,4,Switch,177.8,177.8,26,37,15,20
Zach Reese,Azamat Bekoev,158,-188,False,0.0,1.5319,346,1,12.7,10.16,3,1,6,0,1,1,2,0,2,-0.09,1.3,-0.68,0,2025-01-18,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,0,2,2,1,6,0,1,1,3,Switch,193.04,195.58,30,29,20,20
Bogdan Guskov,Billy Elekana,-400,310,True,1.25,0.0,-710,3,-2.54,0.0,2,1,4,0,2,0,2,0,2,1.86,-0.1,-0.85,-7,2025-01-18,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,190.5,195.58,0,2,2,1,4,0,2,0,2,Orthodox,190.5,193.04,32,29,20,13
Grant Dawson,Diego Ferreira,-245,200,True,1.4082,0.0,-445,-10,-5.08,2.54,1,-4,0,0,-3,3,0,0,0,-1.49,0.5,2.99,0,2025-01-18,False,Lightweight,MALE,3,0,2,6,5,33,0,5,2,10,Orthodox,175.26,187.96,0,2,6,1,33,0,2,5,11,Switch,177.8,182.88,30,40,15,15
Karol Rosa,Ailin Perez,440,-700,False,0.0,1.1429,1140,0,2.54,0.0,3,2,18,0,0,-1,-3,0,0,3.0,0.0,-3.73,-4,2025-01-18,False,Women's Bantamweight,FEMALE,3,0,4,4,1,12,0,0,1,4,Switch,165.1,167.64,0,1,4,3,30,0,0,0,7,Orthodox,165.1,170.18,30,30,13,9
Rinya Nakamura,Muin Gafurov,-720,520,False,0.0,6.2,-1240,1,0.0,0.0,4,-3,-1,1,2,1,4,0,4,-0.09,1.4,1.01,0,2025-01-18,False,Bantamweight,MALE,3,0,1,1,3,10,0,0,0,1,Orthodox,170.18,172.72,0,5,5,0,9,1,2,1,5,Southpaw,170.18,172.72,29,28,20,20
Ricky Turcios,Benardo Sopaj,200,-270,False,0.0,1.3704,470,7,12.7,7.62,2,2,11,0,0,0,0,0,1,0.44,0.3,-1.68,0,2025-01-18,False,Bantamweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,167.64,167.64,1,0,1,3,14,0,0,0,2,Orthodox,175.26,180.34,31,24,20,20
