"date","weightclass","fighter","rank"
"2026-02-10","Light Heavyweight","Aleksandar Rakic","11"
"2026-02-10","Light Heavyweight","Johnny Walker","12"
"2026-02-10","Light Heavyweight","Nikita Krylov","13"
"2026-02-10","Light Heavyweight","Dustin Jacoby","14"
"2026-02-10","Light Heavyweight","Zhang Mingyang","15"
"2026-02-10","Heavyweight","Tom Aspinall","0"
"2026-02-10","Heavyweight","Ciryl Gane","1"
"2026-02-10","Heavyweight","Alexander Volkov","2"
"2026-02-10","Heavyweight","Sergei Pavlovich","3"
"2026-02-10","Heavyweight","Curtis Blaydes","4"
"2026-02-10","Heavyweight","Waldo Cortes-Acosta","5"
"2026-02-10","Heavyweight","Rizvan Kuniev","6"
"2026-02-10","Heavyweight","Serghei Spivac","7"
"2026-02-10","Heavyweight","Jailton Almeida","8"
"2026-02-10","Heavyweight","Ante Delija","9"
"2026-02-10","Heavyweight","Marcin Tybura","10"
"2026-02-10","Heavyweight","Derrick Lewis","11"
"2026-02-10","Heavyweight","Tallison Teixeira","12"
"2026-02-10","Heavyweight","Shamil Gaziev","13"
"2026-02-10","Heavyweight","Valter Walker","14"
"2026-02-10","Heavyweight","Mick Parkin","15"
"2026-02-10","Women's Strawweight","Mackenzie Dern","0"
"2026-02-10","Women's Strawweight","Zhang Weili","1"
"2026-02-10","Women's Strawweight","Tatiana Suarez","2"
"2026-02-10","Women's Strawweight","Virna Jandiroba","3"
"2026-02-10","Women's Strawweight","Yan Xiaonan","4"
"2026-02-10","Women's Strawweight","Amanda Lemos","5"
"2026-02-10","Women's Strawweight","Loopy Godinez","6"
"2026-02-10","Women's Strawweight","Tabatha Ricci","7"
"2026-02-10","Women's Strawweight","Gillian Robertson","8"
"2026-02-10","Women's Strawweight","Jessica Andrade","9"
"2026-02-10","Women's Strawweight","Amanda Ribas","10"
"2026-02-10","Women's Strawweight","Fatima Kline","11"
"2026-02-10","Women's Strawweight","Denise Gomes","12"
"2026-02-10","Women's Strawweight","Alexia Thainara","13"
