"date","weightclass","fighter","rank"
"2025-06-17","Women's Flyweight","Natalia Silva","1"
"2025-06-17","Women's Flyweight","Manon Fiorot","2"
"2025-06-17","Women's Flyweight","Alexa Grasso","3"
"2025-06-17","Women's Flyweight","Erin Blanchfield","4"
"2025-06-17","Women's Flyweight","Maycee Barber","5"
"2025-06-17","Women's Flyweight","Jasmine Jasudavicius","6"
"2025-06-17","Women's Flyweight","Rose Namajunas","7"
"2025-06-17","Women's Flyweight","Viviane Araujo","8"
"2025-06-17","Women's Flyweight","Jessica Andrade","9"
"2025-06-17","Women's Flyweight","Tracy Cortez","10"
"2025-06-17","Women's Flyweight","Miranda Maverick","11"
"2025-06-17","Women's Flyweight","Karine Silva","12"
"2025-06-17","Women's Flyweight","Casey O'Neill","13"
"2025-06-17","Women's Flyweight","Wang Cong","14"
"2025-06-17","Women's Flyweight","JJ Aldrich","15"
"2025-06-17","Women's Bantamweight","Kayla Harrison","0"
"2025-06-17","Women's Bantamweight","Julianna Pena","1"
"2025-06-17","Women's Bantamweight","Raquel Pennington","2"
"2025-06-17","Women's Bantamweight","Ketlen Vieira","3"
"2025-06-17","Women's Bantamweight","Norma Dumont","4"
"2025-06-17","Women's Bantamweight","Macy Chiasson","5"
"2025-06-17","Women's Bantamweight","Irene Aldana","6"
"2025-06-17","Women's Bantamweight","Ailin Perez","7"
"2025-06-17","Women's Bantamweight","Mayra Bueno Silva","8"
"2025-06-17","Women's Bantamweight","Yana Santos","9"
"2025-06-17","Women's Bantamweight","Karol Rosa","10"
"2025-06-17","Women's Bantamweight","Jacqueline Cavalcanti","11"
"2025-06-17","Women's Bantamweight","Nora Cornolle","12"
"2025-06-17","Women's Bantamweight","Miesha Tate","13"
"2025-06-17","Women's Bantamweight","Joselyne Edwards","14"
"2025-06-17","Women's Bantamweight","Chelsea Chandler","15"
"2025-06-17","Men's Pound-for-Pound","Islam Makhachev","1"
"2025-06-17","Men's Pound-for-Pound","Merab Dvalishvili","2"
"2025-06-17","Men's Pound-for-Pound","Jon Jones","3"
"2025-06-17","Men's Pound-for-Pound","Ilia Topuria","4"
"2025-06-17","Men's Pound-for-Pound","Dricus Du Plessis","5"
"2025-06-17","Men's Pound-for-Pound","Magomed Ankalaev","6"
"2025-06-17","Men's Pound-for-Pound","Alexander Volkanovski","7"
"2025-06-17","Men's Pound-for-Pound","Jack Della Maddalena","8"
"2025-06-17","Men's Pound-for-Pound","Alex Pereira","9"
"2025-06-17","Men's Pound-for-Pound","Alexandre Pantoja","10"
"2025-06-17","Men's Pound-for-Pound","Tom Aspinall","11"
"2025-06-17","Men's Pound-for-Pound","Max Holloway","12"
"2025-06-17","Men's Pound-for-Pound","Belal Muhammad","13"
"2025-06-17","Men's Pound-for-Pound","Charles Oliveira","14"
"2025-06-17","Men's Pound-for-Pound","Arman Tsarukyan","15"
"2025-06-17","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2025-06-17","Women's Pound-for-Pound","Zhang Weili","2"
"2025-06-17","Women's Pound-for-Pound","Kayla Harrison","3"
"2025-06-17","Women's Pound-for-Pound","Manon Fiorot","4"
"2025-06-17","Women's Pound-for-Pound","Julianna Pena","5"
"2025-06-17","Women's Pound-for-Pound","Natalia Silva","6"
"2025-06-17","Women's Pound-for-Pound","Alexa Grasso","7"
"2025-06-17","Women's Pound-for-Pound","Erin Blanchfield","8"
"2025-06-17","Women's Pound-for-Pound","Virna Jandiroba","9"
"2025-06-17","Women's Pound-for-Pound","Raquel Pennington","10"
"2025-06-17","Women's Pound-for-Pound","Tatiana Suarez","11"
"2025-06-17","Women's Pound-for-Pound","Rose Namajunas","12"
"2025-06-17","Women's Pound-for-Pound","Yan Xiaonan","13"
"2025-06-17","Women's Pound-for-Pound","Amanda Lemos","14"
"2025-06-17","Women's Pound-for-Pound","Maycee Barber","15"
"2025-06-24","Flyweight","Alexandre Pantoja","0"
"2025-06-24","Flyweight","Brandon Royval","1"
"2025-06-24","Flyweight","Brandon Moreno","2"
"2025-06-24","Flyweight","Amir Albazi","3"
"2025-06-24","Flyweight","Kai Kara-France","4"
"2025-06-24","Flyweight","Tatsuro Taira","5"
"2025-06-24","Flyweight","Manel Kape","6"
"2025-06-24","Flyweight","Alex Perez","7"
"2025-06-24","Flyweight","Asu Almabayev","8"
"2025-06-24","Flyweight","Steve Erceg","9"
"2025-06-24","Flyweight","Tim Elliott","10"
"2025-06-24","Flyweight","Tagir Ulanbekov","11"
"2025-06-24","Flyweight","Joshua Van","12"
"2025-06-24","Flyweight","Ramazan Temirov","13"
"2025-06-24","Flyweight","Kai Asakura","14"
"2025-06-24","Flyweight","Bruno Gustavo da Silva","15"
"2025-06-24","Bantamweight","Merab Dvalishvili","0"
"2025-06-24","Bantamweight","Sean O'Malley","1"
"2025-06-24","Bantamweight","Umar Nurmagomedov","2"
"2025-06-24","Bantamweight","Petr Yan","3"
"2025-06-24","Bantamweight","Cory Sandhagen","4"
"2025-06-24","Bantamweight","Song Yadong","5"
"2025-06-24","Bantamweight","Deiveson Figueiredo","6"
"2025-06-24","Bantamweight","Marlon Vera","7"
"2025-06-24","Bantamweight","Mario Bautista","8"
"2025-06-24","Bantamweight","Rob Font","8"
"2025-06-24","Bantamweight","Henry Cejudo","10"
"2025-06-24","Bantamweight","Aiemann Zahabi","11"
"2025-06-24","Bantamweight","Kyler Phillips","12"
"2025-06-24","Bantamweight","Marcus McGhee","13"
"2025-06-24","Bantamweight","Montel Jackson","14"
"2025-06-24","Bantamweight","Vinicius Oliveira","15"
"2025-06-24","Featherweight","Alexander Volkanovski","0"
"2025-06-24","Featherweight","Max Holloway","1"
"2025-06-24","Featherweight","Diego Lopes","2"
"2025-06-24","Featherweight","Ilia Topuria","3"
"2025-06-24","Featherweight","Movsar Evloev","4"
"2025-06-24","Featherweight","Yair Rodriguez","5"
"2025-06-24","Featherweight","Arnold Allen","6"
"2025-06-24","Featherweight","Brian Ortega","6"
"2025-06-24","Featherweight","Lerone Murphy","8"
"2025-06-24","Featherweight","Aljamain Sterling","9"
"2025-06-24","Featherweight","Josh Emmett","10"
"2025-06-24","Featherweight","Jean Silva","11"
"2025-06-24","Featherweight","Youssef Zalal","12"
"2025-06-24","Featherweight","David Onama","13"
"2025-06-24","Featherweight","Dan Ige","14"
"2025-06-24","Featherweight","Calvin Kattar","15"
"2025-06-24","Lightweight","Islam Makhachev","0"
"2025-06-24","Lightweight","Arman Tsarukyan","1"
"2025-06-24","Lightweight","Charles Oliveira","2"
"2025-06-24","Lightweight","Justin Gaethje","3"
"2025-06-24","Lightweight","Max Holloway","4"
"2025-06-24","Lightweight","Dustin Poirier","5"
"2025-06-24","Lightweight","Dan Hooker","6"
"2025-06-24","Lightweight","Mateusz Gamrot","7"
"2025-06-24","Lightweight","Paddy Pimblett","8"
"2025-06-24","Lightweight","Beneil Dariush","9"
"2025-06-24","Lightweight","Rafael Fiziev","10"
"2025-06-24","Lightweight","Renato Moicano","11"
"2025-06-24","Lightweight","Michael Chandler","12"
"2025-06-24","Lightweight","Grant Dawson","13"
"2025-06-24","Lightweight","Benoit Saint Denis","14"
"2025-06-24","Lightweight","Joel Alvarez","15"
"2025-06-24","Welterweight","Jack Della Maddalena","0"
"2025-06-24","Welterweight","Belal Muhammad","1"
"2025-06-24","Welterweight","Sean Brady","2"
"2025-06-24","Welterweight","Shavkat Rakhmonov","3"
"2025-06-24","Welterweight","Leon Edwards","4"
"2025-06-24","Welterweight","Kamaru Usman","5"
"2025-06-24","Welterweight","Ian Machado Garry","6"
"2025-06-24","Welterweight","Michael Morales","7"
"2025-06-24","Welterweight","Joaquin Buckley","7"
"2025-06-24","Welterweight","Colby Covington","9"
"2025-06-24","Welterweight","Gilbert Burns","10"
"2025-06-24","Welterweight","Geoff Neal","11"
"2025-06-24","Welterweight","Stephen Thompson","12"
"2025-06-24","Welterweight","Carlos Prates","13"
"2025-06-24","Welterweight","Kevin Holland","14"
"2025-06-24","Welterweight","Michael Page","15"
"2025-06-24","Middleweight","Dricus Du Plessis","0"
"2025-06-24","Middleweight","Nassourdine Imavov","1"
"2025-06-24","Middleweight","Sean Strickland","2"
"2025-06-24","Middleweight","Khamzat Chimaev","3"
"2025-06-24","Middleweight","Israel Adesanya","4"
"2025-06-24","Middleweight","Robert Whittaker","5"
"2025-06-24","Middleweight","Caio Borralho","6"
"2025-06-24","Middleweight","Jared Cannonier","7"
"2025-06-24","Middleweight","Roman Dolidze","8"
"2025-06-24","Middleweight","Anthony Hernandez","9"
"2025-06-24","Middleweight","Marvin Vettori","10"
"2025-06-24","Middleweight","Brendan Allen","11"
"2025-06-24","Middleweight","Reinier de Ridder","12"
"2025-06-24","Middleweight","Paulo Costa","13"
"2025-06-24","Middleweight","Abus Magomedov","14"
"2025-06-24","Middleweight","Roman Kopylov","14"
"2025-06-24","Light Heavyweight","Magomed Ankalaev","0"
"2025-06-24","Light Heavyweight","Alex Pereira","1"
"2025-06-24","Light Heavyweight","Jiri Prochazka","2"
"2025-06-24","Light Heavyweight","Carlos Ulberg","3"
"2025-06-24","Light Heavyweight","Khalil Rountree Jr.","4"
"2025-06-24","Light Heavyweight","Jan Blachowicz","5"
"2025-06-24","Light Heavyweight","Jamahal Hill","6"
"2025-06-24","Light Heavyweight","Aleksandar Rakic","7"
"2025-06-24","Light Heavyweight","Dominick Reyes","8"
"2025-06-24","Light Heavyweight","Volkan Oezdemir","9"
"2025-06-24","Light Heavyweight","Nikita Krylov","10"
"2025-06-24","Light Heavyweight","Azamat Murzakanov","11"
"2025-06-24","Light Heavyweight","Johnny Walker","12"
"2025-06-24","Light Heavyweight","Bogdan Guskov","13"
"2025-06-24","Light Heavyweight","Zhang Mingyang","14"
"2025-06-24","Light Heavyweight","Alonzo Menifield","15"
"2025-06-24","Heavyweight","Tom Aspinall","0"
"2025-06-24","Heavyweight","Ciryl Gane","1"
"2025-06-24","Heavyweight","Alexander Volkov","2"
"2025-06-24","Heavyweight","Sergei Pavlovich","3"
"2025-06-24","Heavyweight","Curtis Blaydes","4"
"2025-06-24","Heavyweight","Jailton Almeida","5"
"2025-06-24","Heavyweight","Waldo Cortes-Acosta","6"
"2025-06-24","Heavyweight","Marcin Tybura","7"
"2025-06-24","Heavyweight","Serghei Spivac","8"
"2025-06-24","Heavyweight","Derrick Lewis","9"
"2025-06-24","Heavyweight","Tai Tuivasa","10"
"2025-06-24","Heavyweight","Shamil Gaziev","11"
"2025-06-24","Heavyweight","Mick Parkin","12"
"2025-06-24","Heavyweight","Tallison Teixeira","13"
"2025-06-24","Heavyweight","Martin Buday","14"
"2025-06-24","Heavyweight","Rizvan Kuniev","15"
"2025-06-24","Women's Strawweight","Zhang Weili","0"
"2025-06-24","Women's Strawweight","Virna Jandiroba","1"
"2025-06-24","Women's Strawweight","Tatiana Suarez","2"
"2025-06-24","Women's Strawweight","Yan Xiaonan","3"
"2025-06-24","Women's Strawweight","Amanda Lemos","4"
"2025-06-24","Women's Strawweight","Jessica Andrade","5"
"2025-06-24","Women's Strawweight","Mackenzie Dern","6"
"2025-06-24","Women's Strawweight","Amanda Ribas","7"
"2025-06-24","Women's Strawweight","Iasmin Lucindo","8"
"2025-06-24","Women's Strawweight","Gillian Robertson","9"
"2025-06-24","Women's Strawweight","Tabatha Ricci","10"
"2025-06-24","Women's Strawweight","Loopy Godinez","11"
"2025-06-24","Women's Strawweight","Angela Hill","12"
"2025-06-24","Women's Strawweight","Tecia Pennington","13"
"2025-06-24","Women's Strawweight","Loma Lookboonmee","14"
"2025-06-24","Women's Strawweight","Denise Gomes","15"
"2025-06-24","Women's Flyweight","Valentina Shevchenko","0"
"2025-06-24","Women's Flyweight","Natalia Silva","1"
"2025-06-24","Women's Flyweight","Manon Fiorot","2"
"2025-06-24","Women's Flyweight","Alexa Grasso","3"
"2025-06-24","Women's Flyweight","Erin Blanchfield","4"
"2025-06-24","Women's Flyweight","Jasmine Jasudavicius","5"
"2025-06-24","Women's Flyweight","Maycee Barber","5"
"2025-06-24","Women's Flyweight","Rose Namajunas","7"
"2025-06-24","Women's Flyweight","Viviane Araujo","8"
"2025-06-24","Women's Flyweight","Jessica Andrade","9"
"2025-06-24","Women's Flyweight","Tracy Cortez","10"
"2025-06-24","Women's Flyweight","Miranda Maverick","11"
"2025-06-24","Women's Flyweight","Karine Silva","12"
"2025-06-24","Women's Flyweight","Casey O'Neill","13"
"2025-06-24","Women's Flyweight","Wang Cong","14"
"2025-06-24","Women's Flyweight","JJ Aldrich","15"
"2025-06-24","Women's Bantamweight","Kayla Harrison","0"
"2025-06-24","Women's Bantamweight","Julianna Pena","1"
"2025-06-24","Women's Bantamweight","Raquel Pennington","2"
"2025-06-24","Women's Bantamweight","Ketlen Vieira","3"
"2025-06-24","Women's Bantamweight","Norma Dumont","4"
"2025-06-24","Women's Bantamweight","Macy Chiasson","5"
"2025-06-24","Women's Bantamweight","Irene Aldana","6"
"2025-06-24","Women's Bantamweight","Ailin Perez","7"
"2025-06-24","Women's Bantamweight","Mayra Bueno Silva","8"
"2025-06-24","Women's Bantamweight","Yana Santos","9"
"2025-06-24","Women's Bantamweight","Karol Rosa","10"
"2025-06-24","Women's Bantamweight","Jacqueline Cavalcanti","11"
"2025-06-24","Women's Bantamweight","Nora Cornolle","12"
"2025-06-24","Women's Bantamweight","Miesha Tate","13"
"2025-06-24","Women's Bantamweight","Joselyne Edwards","14"
"2025-06-24","Women's Bantamweight","Daria Zhelezniakova","15"
"2025-06-24","Men's Pound-for-Pound","Islam Makhachev","1"
"2025-06-24","Men's Pound-for-Pound","Merab Dvalishvili","2"
"2025-06-24","Men's Pound-for-Pound","Ilia Topuria","3"
"2025-06-24","Men's Pound-for-Pound","Dricus Du Plessis","4"
"2025-06-24","Men's Pound-for-Pound","Magomed Ankalaev","5"
"2025-06-24","Men's Pound-for-Pound","Alexander Volkanovski","6"
"2025-06-24","Men's Pound-for-Pound","Jack Della Maddalena","7"
"2025-06-24","Men's Pound-for-Pound","Tom Aspinall","8"
"2025-06-24","Men's Pound-for-Pound","Alex Pereira","9"
"2025-06-24","Men's Pound-for-Pound","Alexandre Pantoja","9"
"2025-06-24","Men's Pound-for-Pound","Max Holloway","11"
"2025-06-24","Men's Pound-for-Pound","Belal Muhammad","12"
"2025-06-24","Men's Pound-for-Pound","Charles Oliveira","13"
"2025-06-24","Men's Pound-for-Pound","Arman Tsarukyan","14"
"2025-06-24","Men's Pound-for-Pound","Khamzat Chimaev","15"
"2025-06-24","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2025-06-24","Women's Pound-for-Pound","Zhang Weili","2"
"2025-06-24","Women's Pound-for-Pound","Kayla Harrison","3"
"2025-06-24","Women's Pound-for-Pound","Manon Fiorot","4"
"2025-06-24","Women's Pound-for-Pound","Julianna Pena","5"
"2025-06-24","Women's Pound-for-Pound","Natalia Silva","6"
"2025-06-24","Women's Pound-for-Pound","Alexa Grasso","7"
"2025-06-24","Women's Pound-for-Pound","Erin Blanchfield","8"
"2025-06-24","Women's Pound-for-Pound","Virna Jandiroba","9"
"2025-06-24","Women's Pound-for-Pound","Raquel Pennington","10"
"2025-06-24","Women's Pound-for-Pound","Tatiana Suarez","11"
"2025-06-24","Women's Pound-for-Pound","Rose Namajunas","12"
"2025-06-24","Women's Pound-for-Pound","Yan Xiaonan","13"
"2025-06-24","Women's Pound-for-Pound","Amanda Lemos","14"
"2025-06-24","Women's Pound-for-Pound","Maycee Barber","15"
"2025-07-01","Flyweight","Alexandre Pantoja","0"
"2025-07-01","Flyweight","Joshua Van","1"
"2025-07-01","Flyweight","Brandon Moreno","2"
"2025-07-01","Flyweight","Brandon Royval","3"
"2025-07-01","Flyweight","Amir Albazi","4"
"2025-07-01","Flyweight","Kai Kara-France","5"
"2025-07-01","Flyweight","Tatsuro Taira","6"
"2025-07-01","Flyweight","Manel Kape","7"
"2025-07-01","Flyweight","Alex Perez","8"
"2025-07-01","Flyweight","Asu Almabayev","9"
"2025-07-01","Flyweight","Steve Erceg","10"
"2025-07-01","Flyweight","Tim Elliott","11"
"2025-07-01","Flyweight","Tagir Ulanbekov","12"
"2025-07-01","Flyweight","Ramazan Temirov","13"
"2025-07-01","Flyweight","Bruno Gustavo da Silva","14"
"2025-07-01","Flyweight","Kai Asakura","15"
"2025-07-01","Bantamweight","Merab Dvalishvili","0"
"2025-07-01","Bantamweight","Sean O'Malley","1"
"2025-07-01","Bantamweight","Umar Nurmagomedov","2"
"2025-07-01","Bantamweight","Petr Yan","3"
"2025-07-01","Bantamweight","Cory Sandhagen","4"
"2025-07-01","Bantamweight","Song Yadong","5"
"2025-07-01","Bantamweight","Deiveson Figueiredo","6"
"2025-07-01","Bantamweight","Marlon Vera","7"
"2025-07-01","Bantamweight","Mario Bautista","8"
"2025-07-01","Bantamweight","Rob Font","8"
"2025-07-01","Bantamweight","Henry Cejudo","10"
"2025-07-01","Bantamweight","Aiemann Zahabi","11"
"2025-07-01","Bantamweight","Kyler Phillips","12"
"2025-07-01","Bantamweight","Marcus McGhee","13"
"2025-07-01","Bantamweight","Montel Jackson","14"
"2025-07-01","Bantamweight","Vinicius Oliveira","15"
"2025-07-01","Featherweight","Alexander Volkanovski","0"
"2025-07-01","Featherweight","Max Holloway","1"
"2025-07-01","Featherweight","Movsar Evloev","2"
"2025-07-01","Featherweight","Diego Lopes","3"
"2025-07-01","Featherweight","Yair Rodriguez","4"
"2025-07-01","Featherweight","Brian Ortega","5"
"2025-07-01","Featherweight","Arnold Allen","5"
"2025-07-01","Featherweight","Lerone Murphy","7"
"2025-07-01","Featherweight","Aljamain Sterling","8"
"2025-07-01","Featherweight","Josh Emmett","9"
"2025-07-01","Featherweight","Jean Silva","10"
"2025-07-01","Featherweight","Youssef Zalal","11"
"2025-07-01","Featherweight","Dan Ige","12"
"2025-07-01","Featherweight","David Onama","13"
"2025-07-01","Featherweight","Calvin Kattar","14"
"2025-07-01","Featherweight","Giga Chikadze","15"
"2025-07-01","Lightweight","Ilia Topuria","0"
"2025-07-01","Lightweight","Islam Makhachev","1"
"2025-07-01","Lightweight","Arman Tsarukyan","2"
"2025-07-01","Lightweight","Charles Oliveira","3"
"2025-07-01","Lightweight","Justin Gaethje","4"
"2025-07-01","Lightweight","Max Holloway","5"
"2025-07-01","Lightweight","Dustin Poirier","6"
"2025-07-01","Lightweight","Dan Hooker","7"
"2025-07-01","Lightweight","Mateusz Gamrot","8"
"2025-07-01","Lightweight","Beneil Dariush","9"
"2025-07-01","Lightweight","Paddy Pimblett","10"
"2025-07-01","Lightweight","Rafael Fiziev","11"
"2025-07-01","Lightweight","Renato Moicano","12"
"2025-07-01","Lightweight","Michael Chandler","13"
"2025-07-01","Lightweight","Benoit Saint Denis","14"
"2025-07-01","Lightweight","Grant Dawson","15"
"2025-07-01","Welterweight","Jack Della Maddalena","0"
"2025-07-01","Welterweight","Belal Muhammad","1"
"2025-07-01","Welterweight","Sean Brady","2"
"2025-07-01","Welterweight","Shavkat Rakhmonov","3"
"2025-07-01","Welterweight","Leon Edwards","4"
"2025-07-01","Welterweight","Kamaru Usman","5"
"2025-07-01","Welterweight","Ian Machado Garry","6"
"2025-07-01","Welterweight","Joaquin Buckley","7"
"2025-07-01","Welterweight","Michael Morales","7"
"2025-07-01","Welterweight","Colby Covington","9"
"2025-07-01","Welterweight","Gilbert Burns","10"
"2025-07-01","Welterweight","Geoff Neal","11"
"2025-07-01","Welterweight","Stephen Thompson","12"
"2025-07-01","Welterweight","Carlos Prates","13"
"2025-07-01","Welterweight","Kevin Holland","14"
"2025-07-01","Welterweight","Michael Page","15"
"2025-07-01","Middleweight","Dricus Du Plessis","0"
"2025-07-01","Middleweight","Nassourdine Imavov","1"
"2025-07-01","Middleweight","Sean Strickland","2"
"2025-07-01","Middleweight","Khamzat Chimaev","3"
"2025-07-01","Middleweight","Israel Adesanya","4"
"2025-07-01","Middleweight","Robert Whittaker","5"
"2025-07-01","Middleweight","Caio Borralho","6"
"2025-07-01","Middleweight","Jared Cannonier","7"
"2025-07-01","Middleweight","Roman Dolidze","8"
"2025-07-01","Middleweight","Anthony Hernandez","9"
"2025-07-01","Middleweight","Marvin Vettori","10"
"2025-07-01","Middleweight","Brendan Allen","11"
"2025-07-01","Middleweight","Reinier de Ridder","12"
"2025-07-01","Middleweight","Paulo Costa","13"
"2025-07-01","Middleweight","Roman Kopylov","14"
"2025-07-01","Middleweight","Abus Magomedov","15"
"2025-07-01","Light Heavyweight","Magomed Ankalaev","0"
"2025-07-01","Light Heavyweight","Alex Pereira","1"
"2025-07-01","Light Heavyweight","Jiri Prochazka","2"
"2025-07-01","Light Heavyweight","Carlos Ulberg","3"
"2025-07-01","Light Heavyweight","Khalil Rountree Jr.","4"
"2025-07-01","Light Heavyweight","Jan Blachowicz","5"
"2025-07-01","Light Heavyweight","Jamahal Hill","6"
"2025-07-01","Light Heavyweight","Aleksandar Rakic","7"
"2025-07-01","Light Heavyweight","Dominick Reyes","8"
"2025-07-01","Light Heavyweight","Volkan Oezdemir","9"
"2025-07-01","Light Heavyweight","Nikita Krylov","10"
"2025-07-01","Light Heavyweight","Azamat Murzakanov","11"
"2025-07-01","Light Heavyweight","Johnny Walker","12"
"2025-07-01","Light Heavyweight","Bogdan Guskov","13"
"2025-07-01","Light Heavyweight","Zhang Mingyang","14"
"2025-07-01","Light Heavyweight","Alonzo Menifield","15"
"2025-07-01","Heavyweight","Tom Aspinall","0"
"2025-07-01","Heavyweight","Ciryl Gane","1"
"2025-07-01","Heavyweight","Alexander Volkov","2"
"2025-07-01","Heavyweight","Sergei Pavlovich","3"
"2025-07-01","Heavyweight","Curtis Blaydes","4"
"2025-07-01","Heavyweight","Jailton Almeida","5"
"2025-07-01","Heavyweight","Waldo Cortes-Acosta","6"
"2025-07-01","Heavyweight","Marcin Tybura","7"
"2025-07-01","Heavyweight","Serghei Spivac","8"
"2025-07-01","Heavyweight","Derrick Lewis","9"
"2025-07-01","Heavyweight","Tai Tuivasa","10"
"2025-07-01","Heavyweight","Shamil Gaziev","11"
"2025-07-01","Heavyweight","Mick Parkin","12"
"2025-07-01","Heavyweight","Tallison Teixeira","13"
"2025-07-01","Heavyweight","Martin Buday","14"
"2025-07-01","Heavyweight","Rizvan Kuniev","15"
"2025-07-01","Women's Strawweight","Zhang Weili","0"
"2025-07-01","Women's Strawweight","Virna Jandiroba","1"
"2025-07-01","Women's Strawweight","Tatiana Suarez","2"
"2025-07-01","Women's Strawweight","Yan Xiaonan","3"
"2025-07-01","Women's Strawweight","Amanda Lemos","4"
"2025-07-01","Women's Strawweight","Jessica Andrade","5"
"2025-07-01","Women's Strawweight","Mackenzie Dern","6"
"2025-07-01","Women's Strawweight","Amanda Ribas","7"
"2025-07-01","Women's Strawweight","Iasmin Lucindo","8"
"2025-07-01","Women's Strawweight","Gillian Robertson","9"
"2025-07-01","Women's Strawweight","Tabatha Ricci","10"
"2025-07-01","Women's Strawweight","Loopy Godinez","11"
"2025-07-01","Women's Strawweight","Angela Hill","12"
"2025-07-01","Women's Strawweight","Tecia Pennington","13"
"2025-07-01","Women's Strawweight","Loma Lookboonmee","14"
"2025-07-01","Women's Strawweight","Denise Gomes","15"
"2025-07-01","Women's Flyweight","Valentina Shevchenko","0"
"2025-07-01","Women's Flyweight","Natalia Silva","1"
"2025-07-01","Women's Flyweight","Manon Fiorot","2"
"2025-07-01","Women's Flyweight","Alexa Grasso","3"
"2025-07-01","Women's Flyweight","Erin Blanchfield","4"
"2025-07-01","Women's Flyweight","Jasmine Jasudavicius","5"
"2025-07-01","Women's Flyweight","Maycee Barber","6"
"2025-07-01","Women's Flyweight","Rose Namajunas","7"
"2025-07-01","Women's Flyweight","Tracy Cortez","8"
"2025-07-01","Women's Flyweight","Jessica Andrade","9"
"2025-07-01","Women's Flyweight","Viviane Araujo","10"
"2025-07-01","Women's Flyweight","Miranda Maverick","11"
"2025-07-01","Women's Flyweight","Karine Silva","12"
"2025-07-01","Women's Flyweight","Casey O'Neill","13"
"2025-07-01","Women's Flyweight","Wang Cong","14"
"2025-07-01","Women's Flyweight","JJ Aldrich","15"
"2025-07-01","Women's Bantamweight","Kayla Harrison","0"
"2025-07-01","Women's Bantamweight","Julianna Pena","1"
"2025-07-01","Women's Bantamweight","Raquel Pennington","2"
"2025-07-01","Women's Bantamweight","Ketlen Vieira","3"
"2025-07-01","Women's Bantamweight","Norma Dumont","4"
"2025-07-01","Women's Bantamweight","Macy Chiasson","5"
"2025-07-01","Women's Bantamweight","Irene Aldana","6"
"2025-07-01","Women's Bantamweight","Ailin Perez","7"
"2025-07-01","Women's Bantamweight","Mayra Bueno Silva","8"
"2025-07-01","Women's Bantamweight","Yana Santos","9"
"2025-07-01","Women's Bantamweight","Karol Rosa","10"
"2025-07-01","Women's Bantamweight","Jacqueline Cavalcanti","11"
"2025-07-01","Women's Bantamweight","Nora Cornolle","12"
"2025-07-01","Women's Bantamweight","Miesha Tate","13"
"2025-07-01","Women's Bantamweight","Joselyne Edwards","14"
"2025-07-01","Women's Bantamweight","Daria Zhelezniakova","15"
"2025-07-01","Men's Pound-for-Pound","Ilia Topuria","1"
"2025-07-01","Men's Pound-for-Pound","Islam Makhachev","2"
"2025-07-01","Men's Pound-for-Pound","Merab Dvalishvili","3"
"2025-07-01","Men's Pound-for-Pound","Dricus Du Plessis","4"
"2025-07-01","Men's Pound-for-Pound","Alexandre Pantoja","5"
"2025-07-01","Men's Pound-for-Pound","Alexander Volkanovski","6"
"2025-07-01","Men's Pound-for-Pound","Magomed Ankalaev","7"
"2025-07-01","Men's Pound-for-Pound","Jack Della Maddalena","8"
"2025-07-01","Men's Pound-for-Pound","Tom Aspinall","9"
"2025-07-01","Men's Pound-for-Pound","Alex Pereira","10"
"2025-07-01","Men's Pound-for-Pound","Max Holloway","11"
"2025-07-01","Men's Pound-for-Pound","Belal Muhammad","12"
"2025-07-01","Men's Pound-for-Pound","Arman Tsarukyan","13"
"2025-07-01","Men's Pound-for-Pound","Khamzat Chimaev","14"
"2025-07-01","Men's Pound-for-Pound","Charles Oliveira","15"
"2025-07-01","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2025-07-01","Women's Pound-for-Pound","Zhang Weili","2"
"2025-07-01","Women's Pound-for-Pound","Kayla Harrison","3"
"2025-07-01","Women's Pound-for-Pound","Manon Fiorot","4"
"2025-07-01","Women's Pound-for-Pound","Julianna Pena","5"
"2025-07-01","Women's Pound-for-Pound","Natalia Silva","6"
"2025-07-01","Women's Pound-for-Pound","Alexa Grasso","7"
"2025-07-01","Women's Pound-for-Pound","Erin Blanchfield","8"
"2025-07-01","Women's Pound-for-Pound","Virna Jandiroba","9"
"2025-07-01","Women's Pound-for-Pound","Raquel Pennington","10"
"2025-07-01","Women's Pound-for-Pound","Tatiana Suarez","11"
"2025-07-01","Women's Pound-for-Pound","Rose Namajunas","12"
"2025-07-01","Women's Pound-for-Pound","Yan Xiaonan","13"
"2025-07-01","Women's Pound-for-Pound","Amanda Lemos","14"
"2025-07-01","Women's Pound-for-Pound","Maycee Barber","15"
"2025-07-15","Flyweight","Alexandre Pantoja","0"
"2025-07-15","Flyweight","Joshua Van","1"
"2025-07-15","Flyweight","Brandon Moreno","2"
"2025-07-15","Flyweight","Brandon Royval","3"
"2025-07-15","Flyweight","Amir Albazi","4"
"2025-07-15","Flyweight","Kai Kara-France","5"
"2025-07-15","Flyweight","Tatsuro Taira","6"
"2025-07-15","Flyweight","Manel Kape","7"
"2025-07-15","Flyweight","Alex Perez","8"
"2025-07-15","Flyweight","Asu Almabayev","9"
"2025-07-15","Flyweight","Steve Erceg","10"
"2025-07-15","Flyweight","Tim Elliott","11"
"2025-07-15","Flyweight","Tagir Ulanbekov","12"
