Date,RedFighter,BlueFighter,WeightClass,RedOdds,BlueOdds
2024-09-14,Irene Aldana,Norma Dumont,Women's Bantamweight,110,-130
2024-09-14,Manuel Torres,Ignacio Bahamondes,Lightweight,-130,110
2024-09-14,Yazmin Jauregui,Ketlen Souza,Women's Strawweight,-535,400
2024-09-14,Edgar Chairez,Joshua Van,Flyweight,225,-278
2024-09-14,Raul Rosas Jr.,Aoriqileng,Bantamweight,-1000,650
2024-09-07,Gilbert Burns,Sean Brady,Welterweight,175,-205
2024-09-07,Jessica Andrade,Natalia Silva,Women's Flyweight,225,-278
2024-09-07,Steve Garcia,Kyle Nelson,Featherweight,-205,170
2024-09-07,Matt Schnell,Cody Durden,Bantamweight,225,-278
2024-09-07,Trevor Peek,Yanal Ashmouz,Lightweight,105,-125
2024-09-07,Rongzhu,Chris Padilla,Lightweight,-258,210
2024-09-07,Isaac Dulgarian,Brendon Marotte,Featherweight,-2100,1100
2024-09-07,Felipe dos Santos,Andre Lima,Flyweight,140,-166
2024-09-07,Yizha,Gabriel Santos,Featherweight,220,-270
2024-09-07,Jaqueline Amorim,Vanessa Demopoulos,Women's Strawweight,-258,210
2024-09-07,Andre Petroski,Dylan Budka,Middleweight,-298,240
2024-09-07,Zygimantas Ramaska,Nathan Fletcher,Featherweight,120,-142
2024-08-24,Jared Cannonier,Caio Borralho,Middleweight,260,-325
2024-08-24,Angela Hill,Tabatha Ricci,Women's Strawweight,160,-192
2024-08-24,Robert Valentin,Ryan Loder,Middleweight,-142,120
2024-08-24,Kaan Ofli,Mairon Santos,Featherweight,200,-245
2024-08-24,Neil Magny,Michael Morales,Welterweight,600,-900
2024-08-24,Edmen Shahbazyan,Gerald Meerschaert,Middleweight,-325,260
2024-08-24,Dennis Buzukja,Francis Marshall,Lightweight,180,-218
2024-08-24,Zachary Reese,Jose Daniel Medina,Middleweight,-900,600
2024-08-24,Viacheslav Borshchev,James Llontop,Lightweight,-258,210
2024-08-24,Jacqueline Cavalcanti,Josiane Nunes,Women's Bantamweight,-290,235
2024-08-24,Wang Cong,Victoria Leonardo,Women's Flyweight,-1000,650
2024-08-17,Dricus Du Plessis,Israel Adesanya,Middleweight,-120,100
2024-08-17,Kai Kara-France,Steve Erceg,Flyweight,220,-298
2024-08-17,Mateusz Gamrot,Dan Hooker,Lightweight,-445,310
2024-08-17,Tai Tuivasa,Jairzinho Rozenstruik,Heavyweight,195,-260
2024-08-17,Li Jingliang,Carlos Prates,Welterweight,320,-410
2024-08-17,Junior Tafa,Valter Walker,Heavyweight,114,-145
2024-08-17,Josh Culibao,Ricardo Ramos,Featherweight,-135,105
2024-08-17,Casey O'Neill,Luana Santos,Women's Flyweight,124,-160
2024-08-17,Jack Jenkins,Herbert Burns,Featherweight,-1050,600
2024-08-17,Tom Nolan,Alex Reyes,Lightweight,-1600,800
2024-08-17,Song Kenan,Ricky Glenn,Welterweight,-230,190
2024-08-17,Stewart Nicoll,Jesus Aguilar,Flyweight,-130,100
2024-08-10,Marcin Tybura,Serghei Spivac,Heavyweight,124,-160
2024-08-10,Damon Jackson,Chepe Mariscal,Featherweight,152,-180
2024-08-10,Danny Barlow,Nikolay Veretennikov,Welterweight,-425,300
2024-08-10,Chris Gutierrez,Quang Le,Bantamweight,-720,450
2024-08-10,Yana Santos,Chelsea Chandler,Women's Bantamweight,-154,120
2024-08-10,Toshiomi Kazama,Charalampos Grigoriou,Bantamweight,185,-245
2024-08-10,Karol Rosa,Pannie Kianzad,Women's Bantamweight,-280,210
2024-08-10,Jhonata Diniz,Karl Williams,Heavyweight,124,160
2024-08-10,Youssef Zalal,Jarno Errens,Featherweight,-520,350
2024-08-10,Stephanie Luciano,Talita Alencar,Women's Strawweight,-145,114
2024-08-03,Cory Sandhagen,Umar Nurmagomedov,Bantamweight,280,-395
2024-08-03,Shara Magomedov,Michal Oleksiejczuk,Middleweight,-345,250
2024-08-03,Marlon Vera,Deiveson Figueiredo,Bantamweight,124,-148
2024-08-03,Tony Ferguson,Michael Chiesa,Welterweight,360,-540
2024-08-03,Mackenzie Dern,Loopy Godinez,Women's Strawweight,-140,110
2024-08-03,Joel Alvarez,Elves Brener,Lightweight,-166,130
