RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Grant Dawson,Diego Ferreira,-245.0,200.0,True,1.4082,0.0,-445.0,-10,-5.08,2.54,1,-4,0,0,-3,3,0,0,0,-1.49,0.5,2.99,-5,2025-01-18,False,Lightweight,MALE,3,0,2,6,5,33,0,5,2,10,Orthodox,175.26,187.96,0,2,6,1,33,0,2,5,11,Switch,177.8,182.88,30,40,20,15
Karol Rosa,Ailin Perez,440.0,-700.0,False,0.0,1.1429,1140.0,0,2.54,0.0,3,2,18,0,0,-1,-3,0,0,3.0,0.0,-3.73,-4,2025-01-18,False,Women's Bantamweight,FEMALE,3,0,4,4,1,12,0,0,1,4,Switch,165.1,167.64,0,1,4,3,30,0,0,0,7,Orthodox,165.1,170.18,30,30,13,9
Rinya Nakamura,Muin Gafurov,-720.0,520.0,False,0.0,6.2,-1240.0,1,0.0,0.0,4,-3,-1,1,2,1,4,0,4,-0.09,1.4,1.01,0,2025-01-18,False,Bantamweight,MALE,3,0,1,1,3,10,0,0,0,1,Orthodox,170.18,172.72,0,5,5,0,9,1,2,1,5,Southpaw,170.18,172.72,29,28,20,20
Ricky Turcios,Benardo Sopaj,200.0,-270.0,False,0.0,1.3704,470.0,7,12.7,7.62,2,2,11,0,0,0,0,0,1,0.44,0.3,-1.68,0,2025-01-18,False,Bantamweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,167.64,167.64,1,0,1,3,14,0,0,0,2,Orthodox,175.26,180.34,31,24,20,20
Tagir Ulanbekov,Clayton Carpenter,-390.0,310.0,True,1.2564,0.0,-700.0,5,10.16,2.54,1,1,6,0,0,0,-1,0,-1,-0.65,0.2,0.74,-9,2025-01-18,False,Flyweight,MALE,3,0,3,3,0,6,0,0,2,3,Orthodox,167.64,167.64,0,2,2,1,12,0,0,2,4,Southpaw,170.18,177.8,33,28,20,11
Israel Adesanya,Nassourdine Imavov,-158.0,134.0,False,0.0,2.34,-292.0,7,12.7,2.54,6,2,32,12,2,0,-3,2,6,-0.25,-0.9,-0.69,-3,2025-02-01,False,Middleweight,MALE,5,0,3,3,2,32,0,3,0,7,Orthodox,190.5,190.5,2,0,9,4,64,12,5,0,13,Switch,193.04,203.2,35,28,5,2
Shara Magomedov,Michael Page,-112.0,-112.0,False,0.0,1.8929,0.0,-7,-15.24,-2.54,3,-1,5,0,2,0,4,-1,3,3.65,0.0,-0.19,-6,2025-02-01,False,Middleweight,MALE,3,1,0,1,1,6,0,0,0,1,Switch,190.5,200.66,0,4,4,0,11,0,2,0,4,Orthodox,187.96,185.42,30,37,20,14
Sergei Pavlovich,Jairzinho Rozenstruik,-250.0,205.0,True,1.4,0.0,-455.0,-4,15.24,2.54,-3,-2,-20,1,-2,0,-2,2,2,0.95,0.0,0.48,-5,2025-02-01,False,Heavyweight,MALE,3,0,2,4,5,31,0,8,0,9,Orthodox,187.96,198.12,2,0,6,3,11,1,6,0,6,Southpaw,190.5,213.36,32,36,9,4
Said Nurmagomedov,Vinicius Oliveira,-200.0,168.0,False,0.0,2.68,-368.0,3,0.0,-2.54,4,2,11,0,0,3,-2,0,1,-1.65,0.9,-0.59,0,2025-02-01,False,Bantamweight,MALE,3,0,3,3,0,7,0,2,0,3,Switch,175.26,177.8,0,1,4,2,18,0,2,3,7,Orthodox,172.72,177.8,32,29,20,20
Fares Ziam,Mike Davis,122.0,-144.0,True,2.22,0.0,266.0,-5,7.62,2.54,2,0,6,0,0,-1,0,0,0,-1.86,-0.3,-0.67,0,2025-02-01,False,Lightweight,MALE,3,0,4,4,2,16,0,1,1,4,Orthodox,182.88,182.88,0,4,4,2,22,0,1,0,6,Orthodox,185.42,190.5,27,32,20,20
Muhammad Naimov,Kaan Ofli,-950.0,550.0,True,1.1053,0.0,-1500.0,-1,10.16,5.08,3,1,10,-1,2,0,0,0,3,0.18,-0.2,1.11,0,2025-02-01,False,Featherweight,MALE,3,1,0,0,1,2,1,0,0,0,Orthodox,170.18,167.64,1,0,3,2,12,0,2,0,3,Orthodox,175.26,177.8,30,31,20,20
Shamil Gaziev,Thomas Petersen,-340.0,275.0,True,1.2941,0.0,-615.0,5,10.16,7.62,1,0,2,0,1,0,0,0,1,-0.48,-0.1,-2.08,-6,2025-02-01,False,Heavyweight,MALE,3,0,1,1,1,8,0,0,1,2,Southpaw,185.42,187.96,0,1,2,1,10,0,1,1,3,Orthodox,193.04,198.12,34,29,20,14
