,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
4573,Sam Sicilia,Yaotzin Meza,U-DEC,3.0,-265,225,7/15/2015,Red,False,Featherweight,MALE,3,0,1,1,3,12,0,0,1,2,Orthodox,175.26,187.96,34,,0,1,1,4,16,0,3,0,4,Orthodox,172.72,170.18,29,,neither
4574,Jessica Andrade,Sarah Moras,U-DEC,3.0,-500,400,7/15/2015,Red,False,Women's Bantamweight,FEMALE,3,0,1,1,0,3,0,0,0,1,Orthodox,170.18,170.18,27,,1,0,3,2,10,0,0,1,3,Orthodox,154.94,157.48,23,13.0,Red
4575,Rani Yahya,Masanori Kanehara,S-DEC,3.0,115,-135,7/15/2015,Red,False,Bantamweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,170.18,170.18,32,,0,1,3,3,19,0,0,2,5,Orthodox,167.64,170.18,30,,neither
4576,Igor Araujo,Sean Strickland,U-DEC,3.0,375,-470,7/15/2015,Blue,False,Welterweight,MALE,3,1,0,2,1,7,0,0,1,2,Orthodox,185.42,193.04,24,,1,0,2,1,8,0,0,0,2,Orthodox,185.42,195.58,34,,neither
4577,Kevin Casey,Ildemar Alcantara,U-DEC,3.0,120,-140,7/15/2015,Red,False,Middleweight,MALE,3,0,1,2,2,17,0,0,1,4,Orthodox,187.96,198.12,32,,2,0,0,2,3,0,0,0,0,Southpaw,180.34,195.58,34,,neither
4578,Andrew Craig,Lyman Good,KO/TKO,2.0,230,-270,7/15/2015,Blue,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,30,,2,0,2,3,16,0,1,0,3,Orthodox,185.42,193.04,29,,neither
4579,Jake Ellenberger,Stephen Thompson,KO/TKO,1.0,205,-245,7/12/2015,Blue,False,Welterweight,MALE,5,0,4,4,1,13,0,3,0,5,Orthodox,182.88,190.5,32,,0,1,6,5,31,0,4,1,9,Orthodox,175.26,180.34,30,9.0,Red
4580,Kamaru Usman,Hayder Hassan,SUB,2.0,-240,200,7/12/2015,Red,True,Welterweight,MALE,4,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,32,,0,0,0,0,0,0,0,0,0,Switch,182.88,193.04,28,,neither
4581,Michael Graves,Vicente Luque,U-DEC,3.0,160,-185,7/12/2015,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,23,,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,24,,neither
4582,Jorge Masvidal,Cezar Ferreira,KO/TKO,1.0,-200,170,7/12/2015,Red,False,Welterweight,MALE,3,1,0,3,2,12,1,0,1,4,Southpaw,185.42,198.12,30,,1,0,3,2,20,0,0,1,5,Orthodox,180.34,187.96,30,,neither
4583,Angela Magana,Michelle Waterson,SUB,3.0,650,-1000,7/12/2015,Blue,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Orthodox,160.02,157.48,29,,1,0,0,1,3,0,0,0,0,Orthodox,154.94,165.1,31,,neither
4584,Maximo Blanco,Mike de la Torre,KO/TKO,1.0,155,-175,7/12/2015,Red,False,Featherweight,MALE,3,0,1,1,2,5,0,1,0,1,Orthodox,180.34,180.34,28,,0,2,2,3,16,0,0,0,3,Orthodox,172.72,180.34,31,,neither
4585,Josh Samman,Caio Magalhaes,SUB,1.0,100,-120,7/12/2015,Red,False,Middleweight,MALE,3,0,4,4,1,10,0,2,1,4,Orthodox,185.42,185.42,27,,0,2,2,0,4,0,2,0,2,Orthodox,190.5,200.66,27,,neither
4586,Russell Doane,Jerrod Sanders,U-DEC,3.0,-470,375,7/12/2015,Blue,False,Bantamweight,MALE,3,2,0,0,2,2,0,0,0,0,Orthodox,172.72,182.88,35,,1,0,2,1,8,0,0,1,2,Orthodox,170.18,177.8,28,,neither
4587,Dan Miller,Trevor Smith,U-DEC,3.0,-105,-115,7/12/2015,Blue,False,Middleweight,MALE,3,1,0,1,3,11,0,0,0,2,Orthodox,190.5,190.5,34,,1,0,3,6,29,0,0,4,6,Orthodox,185.42,187.96,34,,neither
4588,George Sullivan,Dominic Waters,U-DEC,3.0,-250,210,7/12/2015,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,185.42,200.66,26,,1,0,2,1,8,0,1,0,2,Orthodox,182.88,185.42,34,,neither
4589,Darrell Montague,Willie Gates,KO/TKO,1.0,120,-130,7/12/2015,Blue,False,Flyweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,172.72,177.8,28,,2,0,0,2,4,0,0,0,0,Southpaw,167.64,170.18,27,,neither
4590,Chad Mendes,Conor McGregor,KO/TKO,2.0,165,-190,7/11/2015,Blue,True,Featherweight,MALE,5,0,5,5,0,8,0,4,0,5,Southpaw,175.26,187.96,26,3.0,0,1,5,2,22,2,5,0,8,Orthodox,167.64,167.64,30,2.0,Red
4591,Robbie Lawler,Rory MacDonald,KO/TKO,5.0,145,-165,7/11/2015,Red,True,Welterweight,MALE,5,0,3,5,2,28,0,3,1,9,Orthodox,182.88,193.04,25,2.0,0,3,3,4,38,2,5,0,10,Southpaw,180.34,187.96,33,0.0,Red
4592,Dennis Bermudez,Jeremy Stephens,KO/TKO,3.0,-245,205,7/11/2015,Blue,False,Featherweight,MALE,3,2,0,3,10,53,0,4,0,10,Orthodox,172.72,180.34,29,11.0,1,0,7,2,20,1,1,2,7,Orthodox,167.64,167.64,28,8.0,Red
