,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
1060,Jennifer Maia,Maryna Moroz,U-DEC,3.0,130,-150,11/19/2022,Red,False,Women's Flyweight,FEMALE,3,0,3,3,3,24,0,0,2,6,Orthodox,170.18,170.18,31,15.0,2,0,2,5,27,1,0,1,4,Orthodox,162.56,162.56,34,8.0,Red
1061,Vince Morales,Miles Johns,U-DEC,3.0,150,-175,11/19/2022,Blue,False,Bantamweight,MALE,3,1,0,2,2,17,0,2,0,4,Orthodox,170.18,167.64,28,,1,0,2,5,20,0,1,0,3,Orthodox,175.26,177.8,32,,neither
1062,Ricky Turcios,Kevin Natividad,S-DEC,3.0,-195,165,11/19/2022,Red,False,Bantamweight,MALE,3,2,0,0,2,4,0,0,0,0,Orthodox,167.64,177.8,29,,1,0,1,2,9,0,0,0,1,Orthodox,175.26,180.34,29,,neither
1063,Vanessa Demopoulos,Maria Oliveira,U-DEC,3.0,-110,-110,11/19/2022,Red,False,Women's Strawweight,FEMALE,3,0,1,1,2,7,0,0,0,1,Orthodox,167.64,175.26,25,,0,2,2,2,10,0,0,1,2,Orthodox,157.48,149.86,34,,neither
1064,Brady Hiestand,Fernie Garcia,U-DEC,3.0,-175,150,11/19/2022,Red,False,Bantamweight,MALE,3,1,0,1,1,4,0,1,0,1,Orthodox,170.18,170.18,30,,1,0,0,1,3,0,0,0,0,Orthodox,172.72,180.34,23,,neither
1065,Natalia Silva,Tereza Bleda,KO/TKO,3.0,-165,140,11/19/2022,Red,False,Women's Flyweight,FEMALE,3,0,1,1,0,3,0,0,0,1,Orthodox,175.26,180.34,20,,0,1,1,0,3,0,0,0,1,Southpaw,162.56,165.1,25,,neither
1066,Israel Adesanya,Alex Pereira,KO/TKO,5.0,-210,180,11/12/2022,Blue,True,Middleweight,MALE,5,0,3,3,0,6,4,2,0,3,Orthodox,193.04,200.66,35,4.0,0,3,9,1,48,11,4,0,12,Switch,193.04,203.2,33,0.0,Red
1067,Carla Esparza,Zhang Weili,SUB,2.0,325,-400,11/12/2022,Blue,True,Women's Strawweight,FEMALE,5,0,1,5,2,21,6,2,1,6,Switch,162.56,160.02,33,2.0,0,6,6,4,42,3,1,1,10,Orthodox,154.94,160.02,35,0.0,Red
1068,Dustin Poirier,Michael Chandler,SUB,3.0,-235,185,11/12/2022,Red,False,Lightweight,MALE,3,0,1,3,2,11,1,3,1,4,Orthodox,172.72,180.34,36,5.0,1,0,5,7,68,4,11,3,21,Southpaw,175.26,182.88,33,2.0,Red
1069,Frankie Edgar,Chris Gutierrez,KO/TKO,1.0,210,-250,11/12/2022,Blue,False,Bantamweight,MALE,3,0,6,3,1,21,0,2,0,6,Orthodox,175.26,170.18,31,,2,0,5,10,98,9,5,2,18,Orthodox,167.64,172.72,41,12.0,Red
1070,Dan Hooker,Claudio Puelles,KO/TKO,2.0,-155,135,11/12/2022,Red,False,Lightweight,MALE,3,0,5,5,1,15,1,0,3,5,Southpaw,177.8,182.88,26,,2,0,4,8,43,0,6,2,11,Switch,182.88,190.5,32,12.0,Red
1071,Brad Riddell,Renato Moicano,SUB,1.0,105,-125,11/12/2022,Blue,False,Lightweight,MALE,3,1,0,3,5,29,0,0,5,8,Orthodox,180.34,182.88,33,,2,0,4,2,16,0,0,0,4,Orthodox,170.18,180.34,31,,neither
1072,Dominick Reyes,Ryan Spann,KO/TKO,1.0,-195,165,11/12/2022,Blue,False,Light Heavyweight,MALE,3,0,1,5,3,15,0,2,3,7,Orthodox,195.58,200.66,31,12.0,3,0,6,3,19,2,3,1,6,Southpaw,193.04,195.58,32,7.0,Red
1073,Erin Blanchfield,Molly McCann,SUB,1.0,-425,340,11/12/2022,Red,False,Women's Flyweight,FEMALE,3,0,3,3,3,24,0,2,0,6,Orthodox,162.56,157.48,32,15.0,0,3,3,0,8,0,0,1,3,Orthodox,162.56,167.64,23,12.0,Red
1074,Andre Petroski,Wellington Turman,U-DEC,3.0,-175,150,11/12/2022,Red,False,Middleweight,MALE,3,0,2,2,3,13,0,0,1,3,Orthodox,182.88,182.88,26,,0,3,3,0,7,0,1,2,3,Switch,182.88,185.42,31,,neither
1075,Matt Frevola,Ottman Azaitar,KO/TKO,1.0,140,-165,11/12/2022,Red,False,Lightweight,MALE,3,0,2,2,0,2,0,2,0,2,Switch,172.72,180.34,32,,0,1,2,3,17,0,1,1,4,Orthodox,175.26,180.34,32,,neither
1076,Karolina Kowalkiewicz,Silvana Gomez Juarez,U-DEC,3.0,-110,-110,11/12/2022,Red,False,Women's Strawweight,FEMALE,3,0,1,1,2,3,0,1,0,1,Orthodox,160.02,165.1,37,,0,1,3,7,34,1,0,1,6,Orthodox,160.02,162.56,37,,neither
1077,Michael Trizano,SeungWoo Choi,KO/TKO,1.0,160,-190,11/12/2022,Red,False,Featherweight,MALE,3,2,0,3,4,18,0,1,0,3,Orthodox,182.88,187.96,30,,2,0,2,3,17,1,0,0,3,Orthodox,180.34,180.34,30,,neither
1078,Julio Arce,Montel Jackson,U-DEC,3.0,170,-200,11/12/2022,Blue,False,Bantamweight,MALE,3,0,2,3,2,20,0,2,1,6,Southpaw,177.8,190.5,30,,0,1,3,3,24,0,3,1,6,Southpaw,170.18,177.8,33,,neither
1079,Carlos Ulberg,Nicolae Negumereanu,KO/TKO,1.0,-135,115,11/12/2022,Red,False,Light Heavyweight,MALE,3,0,4,4,1,12,0,2,0,4,Orthodox,182.88,198.12,28,,0,2,2,1,7,0,2,0,3,Orthodox,193.04,195.58,32,,neither
1080,Marina Rodriguez,Amanda Lemos,KO/TKO,3.0,-245,205,11/5/2022,Blue,False,Women's Strawweight,FEMALE,5,0,1,5,2,14,1,2,2,6,Southpaw,162.56,165.1,35,7.0,0,4,4,1,31,0,2,0,7,Orthodox,167.64,165.1,35,3.0,Red
1081,Neil Magny,Daniel Rodriguez,SUB,3.0,-115,-105,11/5/2022,Red,False,Welterweight,MALE,3,0,4,4,1,22,0,2,1,8,Southpaw,185.42,187.96,35,14.0,1,0,7,8,74,0,5,1,19,Orthodox,190.5,203.2,35,13.0,Red
1082,Darrick Minner,Shayilan Nuerdanbieke,KO/TKO,1.0,330,-410,11/5/2022,Blue,False,Featherweight,MALE,3,0,2,2,1,9,0,0,0,2,Orthodox,172.72,175.26,28,,2,0,2,4,12,0,0,1,2,Orthodox,170.18,175.26,32,,neither
1083,Tagir Ulanbekov,Nate Maness,SUB,1.0,-245,205,11/5/2022,Red,False,Flyweight,MALE,3,1,0,3,1,10,0,1,1,3,Orthodox,177.8,182.88,31,,1,0,2,1,9,0,0,0,2,Southpaw,170.18,177.8,31,15.0,Red
1084,Grant Dawson,Mark Madsen,SUB,3.0,-200,170,11/5/2022,Red,False,Lightweight,MALE,3,0,4,4,0,10,0,1,0,4,Orthodox,172.72,182.88,38,,0,7,6,0,21,0,1,4,7,Switch,177.8,182.88,28,,neither
1085,Miranda Maverick,Shanna Young,U-DEC,3.0,-850,600,11/5/2022,Red,False,Women's Flyweight,FEMALE,3,0,1,1,3,9,0,1,0,1,Orthodox,170.18,165.1,31,,0,1,2,2,12,0,1,1,3,Southpaw,160.02,165.1,25,,neither
1086,Mario Bautista,Benito Lopez,SUB,1.0,-365,300,11/5/2022,Red,False,Bantamweight,MALE,3,0,1,2,1,10,0,0,0,3,Switch,177.8,185.42,28,,0,2,2,2,12,0,1,1,4,Switch,175.26,175.26,29,,neither
1087,Polyana Viana,Jinh Yu Frey,KO/TKO,1.0,-145,125,11/5/2022,Red,False,Women's Strawweight,FEMALE,3,1,0,2,3,15,0,0,0,2,Southpaw,160.02,165.1,37,,1,0,2,4,13,0,0,3,3,Orthodox,165.1,170.18,30,,neither
1088,Liudvik Sholinian,Johnny Munoz,U-DEC,3.0,225,-265,11/5/2022,Blue,False,Bantamweight,MALE,3,1,0,1,2,6,0,0,1,1,Orthodox,175.26,180.34,29,,1,0,0,1,3,0,0,0,0,Orthodox,177.8,180.34,32,,neither
1089,Carlos Candelario,Jake Hadley,SUB,2.0,225,-265,11/5/2022,Blue,False,Flyweight,MALE,3,1,0,1,1,5,0,0,1,1,Southpaw,170.18,177.8,26,,2,0,1,2,9,0,0,0,1,Southpaw,172.72,172.72,31,,neither
1090,Tamires Vidal,Ramona Pascual,KO/TKO,1.0,-125,105,11/5/2022,Red,False,Women's Bantamweight,FEMALE,3,2,0,0,2,6,0,0,0,0,Southpaw,170.18,167.64,34,,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,24,,neither
1091,Calvin Kattar,Arnold Allen,KO/TKO,2.0,105,-125,10/29/2022,Blue,False,Featherweight,MALE,5,0,9,9,0,25,0,1,2,9,Southpaw,172.72,177.8,28,6.0,1,0,2,4,36,0,4,0,7,Orthodox,180.34,182.88,34,5.0,Red
1092,Tim Means,Max Griffin,S-DEC,3.0,160,-190,10/29/2022,Blue,False,Welterweight,MALE,3,1,0,3,7,35,0,3,0,6,Orthodox,180.34,193.04,36,,1,0,4,10,56,0,5,2,14,Orthodox,187.96,190.5,38,,neither
1093,Waldo Cortes-Acosta,Jared Vanderaa,U-DEC,3.0,-210,180,10/29/2022,Red,False,Heavyweight,MALE,3,4,0,1,5,15,0,1,0,2,Orthodox,193.04,203.2,30,,0,1,1,0,1,0,1,0,1,Orthodox,193.04,198.12,31,,neither
1094,Josh Fremd,Tresean Gore,SUB,2.0,-155,135,10/29/2022,Blue,False,Middleweight,MALE,3,2,0,0,2,4,0,0,0,0,Switch,182.88,190.5,28,,1,0,0,1,3,0,0,0,0,Orthodox,193.04,193.04,28,,neither
1095,Dustin Jacoby,Khalil Rountree Jr.,S-DEC,3.0,-175,150,10/29/2022,Blue,False,Light Heavyweight,MALE,3,0,2,3,5,22,1,5,0,6,Southpaw,185.42,193.04,32,,0,7,4,2,24,0,3,0,7,Orthodox,190.5,193.04,34,13.0,Red
1096,Phil Hawes,Roman Dolidze,KO/TKO,1.0,-180,155,10/29/2022,Blue,False,Middleweight,MALE,3,0,2,2,1,11,0,2,0,4,Orthodox,187.96,193.04,34,,0,1,4,2,13,0,3,0,5,Orthodox,182.88,195.58,33,,neither
1097,Andrei Arlovski,Marcos Rogerio de Lima,SUB,1.0,200,-240,10/29/2022,Blue,False,Heavyweight,MALE,3,1,0,2,7,25,0,5,1,8,Orthodox,185.42,190.5,37,,0,4,6,18,97,5,11,2,25,Orthodox,190.5,195.58,43,,neither
1098,Joseph Holmes,JunYong Park,SUB,2.0,170,-200,10/29/2022,Blue,False,Middleweight,MALE,3,0,1,3,2,16,0,0,0,4,Orthodox,177.8,185.42,31,,0,1,1,1,6,0,0,2,2,Orthodox,193.04,203.2,27,,neither
1099,Chase Hooper,Steve Garcia,KO/TKO,1.0,-320,265,10/29/2022,Blue,False,Featherweight,MALE,3,1,0,1,2,7,0,2,0,2,Southpaw,182.88,190.5,30,,0,1,2,2,16,0,2,1,4,Southpaw,185.42,187.96,23,,neither
1100,Cody Durden,Carlos Mota,U-DEC,3.0,135,-155,10/29/2022,Red,False,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,162.56,175.26,27,,0,1,1,2,9,0,1,0,2,Southpaw,170.18,170.18,31,,neither
1101,Christian Rodriguez,Joshua Weems,SUB,1.0,-425,340,10/29/2022,Red,False,Bantamweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,172.72,175.26,28,,1,0,1,1,6,0,0,0,1,Orthodox,170.18,180.34,24,,neither
1102,Charles Oliveira,Islam Makhachev,SUB,2.0,175,-205,10/22/2022,Blue,True,Lightweight,MALE,5,0,10,10,1,26,3,2,5,11,Southpaw,177.8,177.8,30,4.0,0,11,11,8,57,2,3,16,21,Orthodox,177.8,187.96,33,1.0,Red
1103,Aljamain Sterling,TJ Dillashaw,KO/TKO,2.0,-180,155,10/22/2022,Red,True,Bantamweight,MALE,5,0,1,4,4,48,8,7,1,13,Orthodox,167.64,170.18,36,2.0,0,7,7,3,45,4,1,4,13,Orthodox,170.18,180.34,33,0.0,Red
1104,Petr Yan,Sean O'Malley,S-DEC,3.0,-285,240,10/22/2022,Blue,False,Bantamweight,MALE,3,0,3,5,1,19,2,6,0,8,Switch,180.34,182.88,27,11.0,1,0,7,2,34,4,4,0,8,Switch,170.18,170.18,29,1.0,Red
1105,Beneil Dariush,Mateusz Gamrot,U-DEC,3.0,210,-250,10/22/2022,Red,False,Lightweight,MALE,3,0,4,4,1,13,0,2,1,4,Southpaw,177.8,177.8,31,9.0,0,7,7,4,42,0,3,5,15,Southpaw,177.8,182.88,33,6.0,Red
1106,Katlyn Chookagian,Manon Fiorot,U-DEC,3.0,190,-225,10/22/2022,Blue,False,Women's Flyweight,FEMALE,3,0,4,4,0,10,0,2,0,4,Orthodox,170.18,165.1,32,6.0,0,4,4,4,43,1,0,0,11,Orthodox,175.26,172.72,33,,Blue
1107,Belal Muhammad,Sean Brady,KO/TKO,2.0,115,-135,10/22/2022,Red,False,Welterweight,MALE,3,0,5,5,0,14,0,0,2,5,Orthodox,177.8,182.88,29,8.0,0,7,7,3,47,1,1,1,12,Orthodox,180.34,182.88,34,5.0,Red
1108,Makhmud Muradov,Caio Borralho,U-DEC,3.0,180,-210,10/22/2022,Blue,False,Middleweight,MALE,3,0,4,4,0,10,0,1,0,4,Southpaw,185.42,190.5,29,,1,0,3,1,11,0,2,0,3,Orthodox,187.96,190.5,32,,neither
1109,Volkan Oezdemir,Nikita Krylov,U-DEC,3.0,160,-190,10/22/2022,Blue,False,Light Heavyweight,MALE,3,0,1,5,7,28,0,4,4,9,Orthodox,190.5,195.58,30,10.0,0,1,3,5,26,1,3,0,6,Orthodox,187.96,190.5,33,8.0,Red
1110,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,U-DEC,3.0,-140,120,10/22/2022,Red,False,Welterweight,MALE,3,1,0,1,1,4,0,0,1,1,Switch,185.42,180.34,29,,0,1,1,1,4,0,0,0,1,Orthodox,180.34,182.88,32,,neither
1111,Armen Petrosyan,AJ Dobson,U-DEC,3.0,-215,185,10/22/2022,Red,False,Middleweight,MALE,3,1,0,1,1,4,0,0,1,1,Orthodox,185.42,193.04,30,,1,0,2,1,7,0,1,0,2,Orthodox,190.5,180.34,31,,neither
1112,Muhammad Mokaev,Malcolm Gordon,SUB,3.0,-1150,750,10/22/2022,Red,False,Flyweight,MALE,3,0,2,2,2,6,0,1,0,2,Switch,170.18,180.34,32,,0,2,2,0,4,0,0,1,2,Orthodox,170.18,177.8,22,,neither
1113,Karol Rosa,Lina Lansberg,M-DEC,3.0,-425,340,10/22/2022,Red,False,Women's Bantamweight,FEMALE,3,2,0,2,5,25,0,0,0,4,Orthodox,170.18,165.1,40,12.0,1,0,4,1,15,0,0,0,4,Orthodox,165.1,170.18,27,9.0,Red
1114,Alexa Grasso,Viviane Araujo,U-DEC,5.0,-210,180,10/15/2022,Red,False,Women's Flyweight,FEMALE,5,0,1,2,2,21,0,1,0,5,Orthodox,162.56,172.72,35,,0,3,3,3,23,2,0,1,6,Orthodox,165.1,167.64,29,5.0,Red
1115,Cub Swanson,Jonathan Martinez,KO/TKO,2.0,190,-225,10/15/2022,Blue,False,Bantamweight,MALE,3,0,3,3,3,29,0,2,0,7,Southpaw,172.72,177.8,28,,0,1,6,11,74,0,6,2,18,Orthodox,172.72,177.8,38,,neither
1116,Jordan Wright,Dusko Todorovic,KO/TKO,2.0,190,-225,10/15/2022,Blue,False,Middleweight,MALE,3,1,0,2,3,11,0,2,0,3,Orthodox,185.42,187.96,28,,2,0,1,3,7,0,2,0,2,Orthodox,187.96,195.58,31,,neither
1117,Raphael Assuncao,Victor Henry,U-DEC,3.0,350,-435,10/15/2022,Red,False,Bantamweight,MALE,3,0,1,1,0,3,0,0,0,1,Switch,170.18,172.72,35,,4,0,7,8,58,0,2,1,14,Orthodox,165.1,167.64,40,,neither
1118,Misha Cirkunov,Alonzo Menifield,KO/TKO,1.0,160,-190,10/15/2022,Blue,False,Light Heavyweight,MALE,3,0,1,4,3,17,0,5,1,7,Orthodox,182.88,193.04,34,,3,0,4,6,18,0,1,5,6,Orthodox,190.5,195.58,35,,neither
1119,Mana Martinez,Brandon Davis,S-DEC,3.0,-145,125,10/15/2022,Red,False,Bantamweight,MALE,3,3,0,1,6,23,0,0,1,3,Orthodox,177.8,182.88,32,,1,0,1,2,7,0,0,0,1,Orthodox,177.8,177.8,26,,neither
1120,Nick Maximov,Jacob Malkoun,U-DEC,3.0,-140,120,10/15/2022,Blue,False,Middleweight,MALE,3,1,0,2,2,10,0,0,0,2,Orthodox,175.26,185.42,27,,1,0,3,1,10,0,0,0,3,Southpaw,182.88,193.04,24,,neither
1121,Joanderson Brito,Lucas Alexander,SUB,1.0,-380,310,10/15/2022,Red,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,27,,0,1,1,1,7,0,1,0,2,Orthodox,172.72,182.88,27,,neither
1122,Piera Rodriguez,Sam Hughes,U-DEC,3.0,-180,155,10/15/2022,Red,False,Women's Strawweight,FEMALE,3,0,2,2,3,13,0,1,0,2,Orthodox,165.1,162.56,30,,0,2,2,0,6,0,0,0,2,Orthodox,160.02,160.02,29,,neither
1123,Tatsuro Taira,CJ Vergara,SUB,2.0,-275,230,10/15/2022,Red,False,Flyweight,MALE,3,0,1,1,1,7,0,1,0,2,Orthodox,167.64,172.72,31,,0,1,1,0,3,0,0,0,1,Orthodox,170.18,177.8,22,,neither
1124,Mike Jackson,Pete Rodriguez,KO/TKO,1.0,500,-675,10/15/2022,Blue,False,Welterweight,MALE,3,1,0,0,1,1,0,0,0,0,Switch,175.26,180.34,25,,0,1,1,1,5,0,0,0,1,Orthodox,187.96,187.96,37,,neither
1125,Mackenzie Dern,Yan Xiaonan,M-DEC,5.0,-260,220,10/1/2022,Blue,False,Women's Strawweight,FEMALE,5,2,0,6,2,23,1,0,0,6,Orthodox,165.1,160.02,33,6.0,0,1,4,2,21,0,0,4,7,Orthodox,162.56,160.02,29,5.0,Red
1126,Randy Brown,Francisco Trinaldo,U-DEC,3.0,-325,270,10/1/2022,Red,False,Welterweight,MALE,3,0,2,7,7,65,0,5,2,18,Southpaw,175.26,177.8,44,,0,3,3,4,32,0,2,3,9,Orthodox,190.5,198.12,32,,neither
1127,Raoni Barcelos,Trevin Jones,U-DEC,3.0,-260,220,10/1/2022,Red,False,Bantamweight,MALE,3,2,0,1,2,10,0,1,0,1,Southpaw,170.18,177.8,32,,2,0,5,2,19,0,2,1,5,Orthodox,170.18,170.18,35,,neither
1128,Sodiq Yusuff,Don Shainis,SUB,1.0,-1050,700,10/1/2022,Red,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,32,,0,1,5,1,17,0,2,0,6,Orthodox,175.26,180.34,29,12.0,Red
1129,Mike Davis,Viacheslav Borshchev,U-DEC,3.0,-190,160,10/1/2022,Red,False,Lightweight,MALE,3,1,0,2,1,6,0,2,0,2,Orthodox,180.34,175.26,30,,0,2,2,2,11,0,1,0,2,Orthodox,182.88,182.88,29,,neither
1130,John Castaneda,Daniel Santos,KO/TKO,2.0,-180,155,10/1/2022,Blue,False,Catch Weight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,170.18,170.18,27,,0,2,2,1,10,0,1,1,3,Switch,167.64,180.34,30,,neither
1131,Ilir Latifi,Aleksei Oleinik,U-DEC,3.0,-195,165,10/1/2022,Red,False,Heavyweight,MALE,3,0,1,2,7,26,0,1,7,9,Orthodox,187.96,203.2,45,,0,1,3,6,28,0,3,2,8,Orthodox,177.8,185.42,40,,neither
1132,Joaquim Silva,Jesse Ronson,KO/TKO,2.0,-140,120,10/1/2022,Red,False,Lightweight,MALE,3,4,0,0,4,12,0,0,0,0,Southpaw,177.8,177.8,36,,2,0,3,3,16,0,2,0,4,Southpaw,172.72,175.26,33,,neither
1133,Krzysztof Jotko,Brendan Allen,SUB,1.0,-125,105,10/1/2022,Blue,False,Middleweight,MALE,3,0,2,4,2,20,0,1,4,8,Orthodox,187.96,190.5,26,,0,2,5,5,44,0,1,0,11,Southpaw,185.42,195.58,33,,neither
1134,Julija Stoliarenko,Chelsea Chandler,KO/TKO,1.0,-125,105,10/1/2022,Blue,False,Catch Weight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,172.72,172.72,31,,0,1,1,4,13,0,0,1,1,Orthodox,170.18,167.64,29,,neither
1135,Guido Cannetti,Randy Costa,SUB,1.0,235,-280,10/1/2022,Red,False,Bantamweight,MALE,3,2,0,2,3,8,0,2,0,2,Switch,175.26,185.42,28,,0,1,1,5,16,0,1,0,3,Southpaw,167.64,172.72,42,,neither
1136,Cory Sandhagen,Song Yadong,KO/TKO,4.0,-205,175,9/17/2022,Red,False,Bantamweight,MALE,5,0,3,4,1,22,0,4,1,8,Orthodox,172.72,170.18,24,10.0,2,0,5,3,25,1,4,1,7,Switch,180.34,177.8,30,4.0,Red
1137,Chidi Njokuani,Gregory Rodrigues,KO/TKO,2.0,-130,110,9/17/2022,Blue,False,Middleweight,MALE,3,0,1,2,2,10,0,2,0,3,Orthodox,190.5,190.5,30,,0,3,3,0,5,0,3,0,3,Orthodox,190.5,203.2,33,,neither
1138,Andre Fili,Bill Algeo,S-DEC,3.0,-135,115,9/17/2022,Red,False,Featherweight,MALE,3,0,2,2,3,17,0,1,0,3,Switch,182.88,185.42,33,,2,0,2,8,43,0,3,0,9,Orthodox,180.34,187.96,32,,neither
1139,Joe Pyfer,Alen Amedovski,KO/TKO,1.0,-520,410,9/17/2022,Red,False,Middleweight,MALE,3,3,0,0,3,5,0,0,0,0,Orthodox,177.8,187.96,34,,0,1,1,1,3,0,1,0,1,Orthodox,187.96,190.5,26,,neither
1140,Tanner Boser,Rodrigo Nascimento,S-DEC,3.0,-180,155,9/17/2022,Blue,False,Heavyweight,MALE,3,1,0,2,1,6,0,0,2,2,Orthodox,187.96,203.2,29,,0,1,2,3,17,0,3,0,4,Orthodox,187.96,190.5,31,,neither
1141,Anthony Hernandez,Marc-Andre Barriault,SUB,3.0,-215,185,9/17/2022,Red,False,Middleweight,MALE,3,0,1,2,4,19,0,1,1,3,Orthodox,185.42,187.96,32,,0,2,2,2,11,0,0,2,3,Orthodox,182.88,190.5,28,,neither
1142,Damon Jackson,Pat Sabatini,KO/TKO,1.0,185,-215,9/17/2022,Red,False,Featherweight,MALE,3,0,4,4,0,10,0,0,1,4,Orthodox,172.72,177.8,31,,0,3,3,2,18,0,0,2,4,Switch,180.34,180.34,34,,neither
1143,Trevin Giles,Louis Cosce,U-DEC,3.0,-205,175,9/17/2022,Red,False,Welterweight,MALE,3,1,0,1,1,4,0,1,0,1,Orthodox,175.26,180.34,27,,2,0,3,4,23,0,3,0,5,Orthodox,182.88,187.96,30,,neither
1144,Denise Gomes,Loma Lookboonmee,U-DEC,3.0,170,-200,9/17/2022,Blue,False,Women's Strawweight,FEMALE,3,1,0,2,2,15,0,0,0,3,Orthodox,154.94,154.94,26,,0,1,1,0,3,0,0,0,1,Orthodox,157.48,160.02,22,,neither
1145,Trey Ogden,Daniel Zellhuber,U-DEC,3.0,330,-410,9/17/2022,Red,False,Lightweight,MALE,3,0,1,1,0,3,0,0,0,1,Switch,185.42,195.58,23,,1,0,0,1,3,0,0,0,0,Orthodox,180.34,182.88,32,,neither
1146,Mariya Agapova,Gillian Robertson,SUB,2.0,135,-155,9/17/2022,Blue,False,Women's Flyweight,FEMALE,3,1,0,2,5,25,0,1,5,7,Orthodox,165.1,160.02,27,,1,0,1,3,11,0,0,2,2,Southpaw,167.64,172.72,25,,neither
1147,Tony Gravely,Javid Basharat,U-DEC,3.0,140,-165,9/17/2022,Blue,False,Bantamweight,MALE,3,0,2,2,0,6,0,0,1,2,Orthodox,175.26,175.26,27,,0,2,2,2,17,0,3,0,5,Orthodox,165.1,175.26,30,,neither
1148,Nikolas Motta,Cameron VanCamp,KO/TKO,1.0,-150,130,9/17/2022,Red,False,Lightweight,MALE,3,1,0,0,1,1,0,0,0,0,Switch,187.96,187.96,29,,1,0,1,1,5,0,0,0,1,Orthodox,175.26,177.8,29,,neither
1149,Nate Diaz,Tony Ferguson,SUB,4.0,130,-150,9/10/2022,Red,False,Welterweight,MALE,5,4,0,12,5,48,3,5,6,15,Orthodox,180.34,193.04,38,,2,0,5,12,77,3,4,11,19,Southpaw,182.88,193.04,37,,neither
1150,Khamzat Chimaev,Kevin Holland,SUB,1.0,-580,440,9/10/2022,Red,False,Catch Weight,MALE,3,0,2,5,4,41,0,4,3,11,Orthodox,190.5,205.74,29,,0,5,5,0,8,0,2,2,5,Orthodox,187.96,190.5,28,,neither
1151,Li Jingliang,Daniel Rodriguez,S-DEC,3.0,145,-170,9/10/2022,Blue,False,Catch Weight,MALE,3,0,3,4,1,19,0,2,1,7,Southpaw,185.42,187.96,35,,0,1,4,5,36,0,8,0,11,Orthodox,182.88,180.34,34,,neither
1152,Irene Aldana,Macy Chiasson,KO/TKO,3.0,-195,165,9/10/2022,Red,False,Catch Weight,MALE,3,0,1,3,2,19,1,2,1,6,Orthodox,180.34,182.88,31,,0,1,3,4,28,1,2,1,6,Orthodox,175.26,172.72,34,,neither
1153,Johnny Walker,Ion Cutelaba,SUB,1.0,155,-180,9/10/2022,Red,False,Light Heavyweight,MALE,3,1,0,2,6,23,0,3,0,5,Southpaw,185.42,190.5,28,,2,0,4,4,17,0,4,0,5,Orthodox,198.12,208.28,30,13.0,Red
1154,Hakeem Dawodu,Julian Erosa,U-DEC,3.0,-215,185,9/10/2022,Blue,False,Featherweight,MALE,3,0,2,2,5,25,0,2,2,6,Southpaw,185.42,187.96,33,,0,1,5,2,22,0,1,0,6,Orthodox,172.72,185.42,31,,neither
1155,Jailton Almeida,Anton Turkalj,SUB,1.0,-645,480,9/10/2022,Red,False,Catch Weight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,193.04,198.12,26,,0,3,3,0,4,0,1,2,3,Orthodox,190.5,200.66,31,,neither
1156,Denis Tiuliulin,Jamie Pickett,KO/TKO,2.0,110,-130,9/10/2022,Red,False,Middleweight,MALE,3,1,0,2,5,17,0,1,0,3,Orthodox,187.96,203.2,34,,1,0,0,1,2,0,0,0,0,Orthodox,185.42,195.58,34,,neither
1157,Jake Collier,Chris Barnett,KO/TKO,2.0,-540,420,9/10/2022,Blue,False,Heavyweight,MALE,3,1,0,1,2,7,0,1,0,1,Orthodox,175.26,190.5,36,,1,0,1,6,25,0,1,1,5,Orthodox,190.5,198.12,33,,neither
1158,Norma Dumont,Danyelle Wolf,U-DEC,3.0,-360,295,9/10/2022,Red,False,Women's Featherweight,FEMALE,3,0,1,1,0,3,0,0,0,1,Orthodox,180.34,177.8,39,,1,0,3,2,15,0,0,0,3,Orthodox,170.18,170.18,31,,neither
1159,Chad Anheliger,Alatengheili,U-DEC,3.0,155,-180,9/10/2022,Blue,False,Bantamweight,MALE,3,0,1,2,1,13,0,1,0,3,Orthodox,165.1,167.64,30,,0,2,2,0,6,0,1,0,2,Orthodox,167.64,162.56,35,,neither
