RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,WinsDiff,LossesDiff,WinStreakDiff,LoseStreakDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,Finish,FinishRound,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank
Mickey Gall,Ramiz Brahimaj,-170,142,False,0.0,2.42,-312,1,5.0800000000000125,4,3,0,2,0,2024-11-16,False,Welterweight,MALE,3,KO/TKO,1,1,0,1,3,11,0,0,2,2,Orthodox,177.8,182.88,31,20,3,0,3,6,24,0,0,5,6,Switch,187.96,187.96,32,20
Bassil Hafez,Oban Elliott,250,-310,False,0.0,1.3226,560,6,0.0,-2,1,-2,0,0,2024-11-16,False,Welterweight,MALE,3,KO/TKO,3,0,3,3,0,9,0,0,0,3,Orthodox,182.88,182.88,26,20,0,1,1,1,6,0,0,0,1,Orthodox,180.34,182.88,32,20
Veronica Hardy,Eduarda Moura,114,-135,False,0.0,1.7407,249,-1,-5.079999999999984,2,3,3,-1,0,2024-11-16,False,Women's Flyweight,FEMALE,3,U-DEC,3,1,0,2,1,6,0,1,1,2,Orthodox,167.64,167.64,30,20,0,3,3,4,21,0,0,1,4,Southpaw,162.56,162.56,29,20
Neil Magny,Carlos Prates,550,-800,False,0.0,1.125,1350,6,5.079999999999984,18,11,-4,1,-5,2024-11-09,False,Welterweight,MALE,5,KO/TKO,1,0,4,4,0,7,0,4,0,4,Switch,185.42,198.12,31,20,1,0,7,11,88,0,6,2,22,Orthodox,190.5,203.2,37,15
Gerald Meerschaert,Reinier de Ridder,250,-310,False,0.0,1.3226,560,2,-2.539999999999992,12,9,2,0,0,2024-11-09,False,Middleweight,MALE,3,SUB,3,0,0,0,0,0,0,0,0,0,Southpaw,193.04,198.12,34,20,0,2,3,9,43,0,1,11,12,Southpaw,185.42,195.58,36,20
Gaston Bolanos,Cortavious Romious,205,-250,True,3.05,0.0,455,2,2.539999999999992,0,0,-1,1,0,2024-11-09,False,Bantamweight,MALE,3,U-DEC,3,0,1,1,1,4,0,0,0,1,Southpaw,162.56,172.72,30,20,1,0,1,1,5,0,0,0,1,Orthodox,170.18,175.26,32,20
Luana Pinheiro,Gillian Robertson,360,-470,False,0.0,1.2128,830,2,-2.5400000000000205,-7,-4,-2,2,-1,2024-11-09,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,2,2,6,37,0,2,7,11,Orthodox,165.1,160.02,29,14,2,0,4,2,13,0,1,0,4,Orthodox,157.48,157.48,31,13
Mansur Abdul-Malik,Dusko Todorovic,-485,370,True,1.2062,0.0,-855,-3,12.699999999999989,-3,-4,1,-1,0,2024-11-09,False,Middleweight,MALE,3,KO/TKO,1,1,0,2,4,14,0,3,0,4,Orthodox,185.42,187.96,30,20,0,1,1,0,2,0,1,0,1,Orthodox,187.96,200.66,27,20
Karolina Kowalkiewicz,Denise Gomes,500,-700,False,0.0,1.1429,1200,15,2.539999999999992,5,6,-1,1,0,2024-11-09,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,1,2,2,15,0,2,0,4,Orthodox,157.48,160.02,24,20,1,0,4,8,46,1,0,1,9,Orthodox,160.02,162.56,39,20
Elizeu Zaleski dos Santos,Zachary Scroggin,-900,600,True,1.1111,0.0,-1500,9,-2.5400000000000205,10,4,0,1,0,2024-11-09,False,Welterweight,MALE,3,KO/TKO,1,0,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,28,20,1,0,7,4,40,0,3,1,10,Orthodox,180.34,185.42,37,20
Matthew Semelsberger,Charles Radtke,140,-175,False,0.0,1.5714,315,-3,7.6200000000000045,3,4,0,2,0,2024-11-09,False,Welterweight,MALE,3,KO/TKO,1,1,0,2,1,5,0,1,0,2,Orthodox,175.26,182.88,34,20,3,0,2,5,26,0,2,0,5,Switch,185.42,190.5,31,20
Cody Stamann,Da'Mon Blackshear,205,-250,False,0.0,1.4,455,5,-20.319999999999993,5,3,0,0,0,2024-11-09,False,Bantamweight,MALE,3,SUB,1,2,0,2,3,13,0,1,1,2,Switch,177.8,182.88,30,20,2,0,3,6,37,0,1,0,7,Orthodox,167.64,162.56,35,20
Tresean Gore,Antonio Trocoli,-175,145,True,1.5714,0.0,-320,-3,-10.159999999999997,1,1,1,-1,0,2024-11-09,False,Middleweight,MALE,3,SUB,1,1,0,0,1,4,0,0,0,0,Orthodox,198.12,200.66,33,20,0,1,1,2,6,0,0,1,1,Switch,182.88,190.5,30,20
Melissa Mullins,Klaudia Sygula,-345,275,True,1.2899,0.0,-620,8,-2.539999999999992,1,1,0,1,0,2024-11-09,False,Women's Bantamweight,FEMALE,3,KO/TKO,2,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,25,20,1,0,1,1,5,0,0,0,1,Orthodox,170.18,172.72,33,20
Brandon Moreno,Amir Albazi,-180,150,True,1.5556,0.0,-330,-1,5.0800000000000125,4,5,-5,2,-1,2024-11-02,False,Flyweight,MALE,5,U-DEC,5,0,5,5,0,13,0,1,2,5,Orthodox,165.1,172.72,31,3,2,0,3,5,53,6,3,3,9,Orthodox,170.18,177.8,30,2
Erin Blanchfield,Rose Namajunas,-155,130,True,1.6452,0.0,-285,-7,2.539999999999992,-5,-4,-2,1,-2,2024-11-02,False,Women's Flyweight,FEMALE,3,U-DEC,5,0,2,3,5,52,7,2,3,11,Orthodox,165.1,165.1,32,5,1,0,6,1,19,0,0,3,6,Orthodox,162.56,167.64,25,3
Caio Machado,Brendson Ribeiro,-192,160,False,0.0,2.6,-352,2,-7.6200000000000045,0,0,0,0,0,2024-11-02,False,Light Heavyweight,MALE,3,S-DEC,3,2,0,1,2,5,0,1,0,1,Orthodox,190.5,205.74,28,20,2,0,1,2,9,0,0,0,1,Southpaw,193.04,198.12,30,20
Ariane da Silva,Jasmine Jasudavicius,190,-250,False,0.0,1.4,440,-5,-2.539999999999992,0,4,-2,1,-1,2024-11-02,False,Women's Flyweight,FEMALE,3,SUB,3,0,2,2,2,24,0,0,1,6,Orthodox,170.18,172.72,35,14,1,0,3,6,29,0,0,2,6,Orthodox,167.64,170.18,30,13
Marc-Andre Barriault,Dustin Stoltzfus,-270,220,False,0.0,3.2,-490,2,-2.539999999999992,2,2,0,1,0,2024-11-02,False,Middleweight,MALE,3,KO/TKO,1,1,0,1,5,17,0,1,1,3,Orthodox,182.88,190.5,32,20,2,0,2,7,31,0,2,1,5,Orthodox,185.42,187.96,34,20
Mike Malott,Trevin Giles,-375,295,True,1.2667,0.0,-670,0,-2.5400000000000205,-3,-5,0,-1,0,2024-11-02,False,Welterweight,MALE,3,U-DEC,3,2,0,3,6,32,0,3,0,7,Orthodox,182.88,187.96,32,20,1,0,4,1,8,0,1,3,4,Orthodox,185.42,185.42,32,20
Aiemann Zahabi,Pedro Munhoz,-225,185,True,1.4444,0.0,-410,-2,7.6200000000000045,-5,-7,4,-2,0,2024-11-02,False,Bantamweight,MALE,3,U-DEC,3,2,0,4,9,51,0,3,3,10,Orthodox,167.64,165.1,38,20,0,4,4,2,17,0,2,0,5,Orthodox,172.72,172.72,36,20
Charles Jourdain,Victor Henry,-148,124,True,1.6757,0.0,-272,-9,2.539999999999992,3,6,-2,2,0,2024-11-02,False,Bantamweight,MALE,3,SUB,2,0,2,2,1,14,0,1,0,3,Switch,170.18,172.72,37,20,2,0,2,7,36,0,2,2,6,Switch,175.26,175.26,28,20
Jack Shore,Youssef Zalal,250,-310,False,0.0,1.3226,560,1,-2.539999999999992,1,-1,-2,1,0,2024-11-02,False,Featherweight,MALE,3,SUB,2,0,2,3,3,24,0,0,2,5,Switch,177.8,182.88,28,20,1,0,5,2,20,0,0,3,6,Orthodox,172.72,180.34,29,20
Alexandr Romanov,Rodrigo Nascimento,-142,120,True,1.7042,0.0,-262,2,-12.699999999999989,1,1,0,0,-2,2024-11-02,False,Heavyweight,MALE,3,U-DEC,3,1,0,3,2,18,0,0,2,5,Orthodox,187.96,203.2,31,15,1,0,5,3,17,0,1,3,6,Southpaw,187.96,190.5,33,13
Serhiy Sidey,Garrett Armfield,-135,114,True,1.7407,0.0,-249,0,5.079999999999984,-1,-1,0,0,0,2024-11-02,False,Bantamweight,MALE,3,S-DEC,3,1,0,2,2,9,0,1,0,2,Orthodox,167.64,177.8,28,20,1,0,1,1,4,0,1,0,1,Switch,180.34,182.88,28,20
Chad Anheliger,Cody Gibson,310,-395,False,0.0,1.2532,705,0,-17.78,1,-3,0,0,0,2024-11-02,False,Bantamweight,MALE,3,U-DEC,3,0,1,1,5,16,0,1,1,2,Orthodox,177.8,180.34,37,20,0,1,2,2,15,0,1,0,3,Orthodox,167.64,162.56,37,20
Jamey-Lyn Horth,Ivana Petrovic,-192,160,True,1.5208,0.0,-352,4,-10.160000000000025,0,0,-1,1,0,2024-11-02,False,Women's Flyweight,FEMALE,3,S-DEC,3,0,1,1,1,6,0,0,1,1,Southpaw,172.72,177.8,30,20,1,0,1,1,6,0,0,0,1,Orthodox,170.18,167.64,34,20
Ilia Topuria,Max Holloway,-305,245,True,1.3279,0.0,-550,-5,0.0,-15,-7,4,0,-2,2024-10-26,True,Featherweight,MALE,5,KO/TKO,3,0,3,13,7,98,9,11,2,22,Orthodox,180.34,175.26,32,2,0,7,7,0,16,1,4,1,7,Orthodox,170.18,175.26,27,0
Robert Whittaker,Khamzat Chimaev,200,-245,False,0.0,1.4082,445,3,-5.0800000000000125,10,5,-5,0,-10,2024-10-26,False,Middleweight,MALE,3,SUB,1,0,7,7,0,12,0,2,3,7,Orthodox,187.96,190.5,30,13,0,2,9,5,64,4,6,0,17,Orthodox,182.88,185.42,33,3
Magomed Ankalaev,Aleksandar Rakic,-340,270,True,1.2941,0.0,-610,0,-7.6200000000000045,4,-2,10,-2,-19,2024-10-26,False,Light Heavyweight,MALE,3,U-DEC,3,2,0,4,3,22,0,2,0,6,Orthodox,193.04,198.12,32,20,0,10,9,1,33,1,6,0,10,Orthodox,190.5,190.5,32,1
