RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,WinsDiff,LossesDiff,WinStreakDiff,LoseStreakDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,Finish,FinishRound,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank
Enrique Barzola,Bobby Moffett,-165,145,True,1.6061,0.0,-310,1,-7.619999999999976,4,1,0,0,0,2019-08-10,False,Featherweight,MALE,3,S-DEC,3,1,0,1,1,5,0,0,1,1,Orthodox,177.8,185.42,29,20,1,0,4,2,21,0,0,0,5,Orthodox,170.18,177.8,30,20
Gilbert Burns,Aleksei Kunchenko,120,-140,True,2.2,0.0,260,-2,2.539999999999992,6,3,0,0,0,2019-08-10,False,Welterweight,MALE,3,U-DEC,3,0,2,2,0,6,0,0,0,2,Orthodox,172.72,177.8,35,20,0,2,3,3,24,0,2,4,8,Orthodox,177.8,180.34,33,20
Tecia Torres,Marina Rodriguez,-160,140,False,0.0,2.4,-300,-3,-12.699999999999989,5,4,-1,3,-12,2019-08-10,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,1,1,0,6,0,0,0,1,Orthodox,167.64,165.1,32,20,3,0,3,4,29,0,0,1,6,Orthodox,154.94,152.4,29,8
Rogerio Bontorin,Raulian Paiva,100,-120,True,2.0,0.0,220,4,-5.079999999999984,1,-1,1,-1,-6,2019-08-10,False,Flyweight,MALE,3,KO/TKO,1,1,0,0,1,3,0,0,0,0,Orthodox,172.72,175.26,23,13,0,1,1,0,3,0,0,0,1,Orthodox,165.1,170.18,27,7
Geraldo de Freitas,Chris Gutierrez,-175,155,False,0.0,2.55,-330,-1,12.699999999999989,0,-1,0,0,0,2019-08-10,False,Bantamweight,MALE,3,S-DEC,3,0,1,1,1,5,0,0,0,1,Orthodox,175.26,170.18,28,20,0,1,1,0,3,0,0,0,1,Orthodox,170.18,182.88,27,20
Kazula Vargas,Alex Da Silva,240,-280,False,0.0,1.3571,520,10,-5.079999999999984,0,-1,0,-1,0,2019-08-10,False,Lightweight,MALE,3,U-DEC,3,1,0,0,1,2,0,0,0,0,Orthodox,172.72,185.42,23,20,0,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,33,20
Veronica Macedo,Polyana Viana,-130,110,True,1.7692,0.0,-240,-4,-7.6200000000000045,-1,1,0,1,0,2019-08-10,False,Women's Flyweight,FEMALE,3,SUB,1,2,0,1,2,7,0,0,1,1,Orthodox,165.1,170.18,27,20,3,0,0,3,8,0,0,0,0,Southpaw,162.56,162.56,23,20
Colby Covington,Robbie Lawler,-300,250,True,1.3333,0.0,-550,-6,-5.0800000000000125,-10,-11,6,-2,-8,2019-08-03,False,Welterweight,MALE,5,U-DEC,5,2,0,5,12,83,5,12,0,19,Southpaw,180.34,187.96,37,10,0,6,6,1,28,1,2,2,9,Orthodox,180.34,182.88,31,2
Jim Miller,Clay Guida,-140,130,True,1.7143,0.0,-270,-2,2.539999999999992,2,-1,0,0,0,2019-08-03,False,Lightweight,MALE,3,SUB,1,0,1,4,13,83,0,2,1,17,Orthodox,170.18,177.8,37,20,0,1,7,12,73,0,3,9,19,Southpaw,172.72,180.34,35,20
Joaquim Silva,Nasrat Haqparast,315,-380,False,0.0,1.2632,695,7,-7.6200000000000045,2,0,-1,0,0,2019-08-03,False,Lightweight,MALE,3,KO/TKO,2,0,2,2,1,9,0,0,0,2,Southpaw,177.8,182.88,23,20,0,1,3,1,13,0,2,0,4,Southpaw,172.72,175.26,30,20
Trevin Giles,Gerald Meerschaert,-170,150,False,0.0,2.5,-320,-4,-7.6200000000000045,-2,-2,0,-1,0,2019-08-03,False,Middleweight,MALE,3,SUB,3,2,0,2,3,12,0,1,3,4,Southpaw,185.42,195.58,31,20,1,0,2,1,8,0,2,0,2,Orthodox,182.88,187.96,27,20
Scott Holtzman,Dong Hyun Ma,-390,320,True,1.2564,0.0,-710,5,-2.5400000000000205,2,0,0,0,0,2019-08-03,False,Lightweight,MALE,3,KO/TKO,2,1,0,3,3,14,0,1,0,3,Orthodox,180.34,177.8,30,20,1,0,3,3,24,0,1,1,5,Orthodox,175.26,175.26,35,20
Darko Stosic,Kennedy Nzechukwu,-120,100,False,0.0,2.0,-220,0,-17.78,0,0,0,0,0,2019-08-03,False,Light Heavyweight,MALE,3,U-DEC,3,1,0,0,1,3,0,0,0,0,Southpaw,195.58,210.82,27,20,1,0,1,1,4,0,1,0,0,Orthodox,182.88,193.04,27,20
Mickey Gall,Salim Touahri,100,-120,True,2.0,0.0,220,-2,5.0800000000000125,4,0,0,-1,0,2019-08-03,False,Welterweight,MALE,3,U-DEC,3,2,0,0,2,6,0,0,0,0,Orthodox,177.8,182.88,29,20,1,0,3,2,10,0,0,4,4,Switch,187.96,187.96,27,20
Antonina Shevchenko,Lucie Pudilova,-160,140,True,1.625,0.0,-300,9,0.0,-1,-2,0,-1,-5,2019-08-03,False,Women's Flyweight,FEMALE,3,SUB,2,2,0,2,3,15,0,0,0,2,Orthodox,172.72,170.18,25,20,1,0,1,1,6,0,0,0,1,Southpaw,172.72,170.18,34,15
Jordan Espinosa,Matt Schnell,-155,145,False,0.0,2.45,-300,0,-2.5400000000000205,-2,-2,-2,0,-6,2019-08-03,False,Flyweight,MALE,3,SUB,1,0,3,3,2,9,0,0,1,3,Orthodox,172.72,177.8,29,14,0,1,1,0,3,0,0,0,1,Orthodox,167.64,175.26,29,8
Lauren Murphy,Mara Romero Borella,180,-220,True,2.8,0.0,400,3,-5.079999999999984,0,3,-1,1,-1,2019-08-03,False,Women's Flyweight,FEMALE,3,KO/TKO,3,0,1,1,1,7,0,0,1,2,Orthodox,167.64,175.26,33,10,1,0,1,4,18,0,1,0,2,Orthodox,165.1,170.18,36,9
Claudio Silva,Cole Williams,-550,425,True,1.1818,0.0,-975,1,-5.079999999999984,4,0,4,0,0,2019-08-03,False,Welterweight,MALE,3,SUB,1,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,35,20,0,4,4,0,11,0,0,2,4,Southpaw,180.34,180.34,36,20
Miranda Granger,Hannah Goldy,-105,-115,True,1.9524,0.0,10,0,17.78,0,0,0,0,0,2019-08-03,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,162.56,154.94,27,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,27,20
Max Holloway,Frankie Edgar,-335,275,True,1.2985,0.0,-610,-10,2.539999999999992,-1,-2,-1,1,-4,2019-07-27,True,Featherweight,MALE,5,U-DEC,5,0,1,5,6,83,9,5,2,17,Orthodox,167.64,172.72,37,4,1,0,13,4,55,6,9,2,16,Orthodox,180.34,175.26,27,0
Cris Cyborg,Felicia Spencer,-380,315,True,1.2632,0.0,-695,6,0.0,10,1,-1,1,0,2019-07-27,False,Women's Featherweight,FEMALE,3,U-DEC,3,0,1,1,0,1,0,0,1,1,Orthodox,167.64,172.72,28,20,1,0,11,1,27,4,9,0,11,Orthodox,172.72,172.72,34,20
Geoff Neal,Niko Price,-335,275,True,1.2985,0.0,-610,-1,-2.539999999999992,-2,-2,2,0,0,2019-07-27,False,Welterweight,MALE,3,KO/TKO,2,0,1,2,2,12,0,3,2,5,Orthodox,182.88,193.04,29,20,0,3,3,0,6,0,1,1,3,Southpaw,180.34,190.5,28,20
Olivier Aubin-Mercier,Arman Tsarukyan,145,-165,False,0.0,1.6061,310,8,-5.079999999999984,7,3,0,1,0,2019-07-27,False,Lightweight,MALE,3,U-DEC,3,1,0,0,1,3,0,0,0,0,Orthodox,170.18,182.88,22,20,2,0,4,4,29,0,1,4,7,Southpaw,175.26,177.8,30,20
Alexis Davis,Viviane Araujo,165,-190,False,0.0,1.5263,355,2,0.0,7,5,-1,2,-12,2019-07-27,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,1,1,0,3,0,1,0,1,Orthodox,162.56,172.72,32,20,2,0,3,5,34,1,1,1,8,Orthodox,167.64,172.72,34,8
Hakeem Dawodu,Yoshinori Horie,-440,350,True,1.2273,0.0,-790,4,7.619999999999976,2,1,2,0,0,2019-07-27,False,Featherweight,MALE,3,KO/TKO,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,24,20,0,2,2,1,7,0,0,0,2,Orthodox,172.72,185.42,28,20
Alexandre Pantoja,Deiveson Figueiredo,-140,120,False,0.0,2.2,-260,-2,-2.539999999999992,1,0,3,-1,-1,2019-07-27,False,Flyweight,MALE,3,U-DEC,3,1,0,4,1,12,0,3,0,4,Orthodox,165.1,172.72,31,4,0,3,3,1,14,0,1,2,5,Orthodox,165.1,170.18,29,3
Gillian Robertson,Sarah Frota,-150,130,True,1.6667,0.0,-280,-8,-15.23999999999998,3,0,1,-1,0,2019-07-27,False,Women's Flyweight,FEMALE,3,KO/TKO,2,1,0,0,1,3,0,0,0,0,Southpaw,167.64,175.26,32,20,0,1,2,1,6,0,0,3,3,Orthodox,165.1,160.02,24,20
Erik Koch,Kyle Stewart,-140,120,True,1.7143,0.0,-260,0,-12.699999999999989,7,5,0,1,0,2019-07-27,False,Welterweight,MALE,3,U-DEC,3,1,0,0,1,1,0,0,0,0,Orthodox,182.88,193.04,30,20,2,0,4,6,27,0,3,2,7,Southpaw,177.8,180.34,30,20
Rafael Dos Anjos,Leon Edwards,-110,-110,False,0.0,1.9091,0,7,-10.159999999999997,9,7,-6,0,-8,2019-07-20,False,Welterweight,MALE,5,U-DEC,5,0,7,7,2,33,0,2,1,9,Southpaw,187.96,187.96,27,12,0,1,5,9,78,3,4,4,18,Southpaw,172.72,177.8,34,4
Aleksei Oleinik,Walt Harris,130,-150,False,0.0,1.6667,280,6,7.619999999999976,1,-3,-1,1,-5,2019-07-20,False,Heavyweight,MALE,3,KO/TKO,1,0,1,2,6,21,0,5,0,5,Southpaw,195.58,195.58,36,14,1,0,2,3,13,0,1,5,6,Orthodox,187.96,203.2,42,9
Greg Hardy,Juan Adams,-105,-115,True,1.9524,0.0,10,3,0.0,0,0,1,-1,0,2019-07-20,False,Heavyweight,MALE,3,KO/TKO,1,1,0,1,1,6,0,1,0,1,Orthodox,195.58,203.2,27,20,0,1,1,1,3,0,1,0,1,Orthodox,195.58,203.2,30,20
James Vick,Dan Hooker,105,-125,False,0.0,1.8,230,3,2.539999999999992,2,-1,0,1,-5,2019-07-20,False,Lightweight,MALE,3,KO/TKO,1,1,0,4,4,23,0,5,2,7,Switch,182.88,190.5,29,20,2,0,5,3,25,0,2,3,9,Orthodox,190.5,193.04,32,15
Alexander Hernandez,Francisco Trinaldo,-250,210,True,1.4,0.0,-460,-4,5.079999999999984,-11,-4,-1,1,-7,2019-07-20,False,Lightweight,MALE,3,U-DEC,3,0,1,7,5,44,0,4,2,13,Southpaw,175.26,177.8,30,20,1,0,2,1,6,0,1,0,2,Orthodox,175.26,182.88,26,13
Andrei Arlovski,Ben Rothwell,155,-175,True,2.55,0.0,330,3,-2.539999999999992,5,10,0,1,0,2019-07-20,False,Heavyweight,MALE,3,U-DEC,3,2,0,6,6,40,0,8,2,13,Orthodox,193.04,198.12,37,20,3,0,6,16,73,5,11,2,18,Orthodox,190.5,195.58,40,20
Alex Caceres,Steven Peterson,-115,-105,True,1.8696,0.0,-10,2,7.619999999999976,8,8,0,0,0,2019-07-20,False,Featherweight,MALE,3,U-DEC,3,1,0,1,2,9,0,0,0,1,Orthodox,177.8,177.8,29,20,1,0,4,10,52,0,1,2,9,Southpaw,177.8,185.42,31,20
Raquel Pennington,Irene Aldana,115,-135,True,2.15,0.0,250,-1,-2.539999999999992,3,2,-3,2,-4,2019-07-20,False,Women's Bantamweight,FEMALE,3,S-DEC,3,0,3,3,2,15,0,0,1,3,Orthodox,175.26,172.72,31,10,2,0,4,4,29,1,0,2,6,Orthodox,170.18,170.18,30,6
Sam Alvey,Klidson Abreu,145,-165,False,0.0,1.6061,310,7,2.539999999999992,10,6,0,1,0,2019-07-20,False,Light Heavyweight,MALE,3,U-DEC,3,1,0,0,1,3,0,0,0,0,Orthodox,182.88,187.96,26,20,2,0,4,7,35,0,5,1,10,Southpaw,187.96,190.5,33,20
Roxanne Modafferi,Jennifer Maia,110,-130,False,0.0,1.7692,240,6,12.699999999999989,1,4,0,0,-1,2019-07-20,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,1,1,1,6,0,0,0,1,Orthodox,162.56,162.56,30,6,0,1,1,5,20,1,1,0,2,Orthodox,170.18,175.26,36,5
Ray Borg,Gabriel Silva,-185,160,True,1.5405,0.0,-345,1,-20.319999999999993,5,4,0,2,0,2019-07-20,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,167.64,180.34,24,20,2,0,3,4,27,1,0,2,5,Orthodox,162.56,160.02,25,20
Mario Bautista,Jin Soo Son,150,-170,True,2.5,0.0,320,0,0.0,0,0,0,0,0,2019-07-20,False,Bantamweight,MALE,3,U-DEC,3,1,0,0,1,3,0,0,0,0,Orthodox,167.64,175.26,26,20,1,0,0,1,1,0,0,0,0,Switch,175.26,175.26,26,20
Domingo Pilarte,Felipe Colares,-400,325,False,0.0,4.25,-725,-6,10.159999999999997,0,-1,0,-1,0,2019-07-20,False,Bantamweight,MALE,3,S-DEC,3,1,0,0,1,3,0,0,0,0,Orthodox,172.72,175.26,35,20,0,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,29,20
Urijah Faber,Ricky Simon,320,-355,True,4.2,0.0,675,14,-5.079999999999984,16,9,-2,0,5,2019-07-13,False,Bantamweight,MALE,3,KO/TKO,1,0,3,3,0,9,0,1,0,3,Orthodox,167.64,175.26,26,15,0,1,6,9,78,4,2,12,19,Orthodox,167.64,170.18,40,20
Josh Emmett,Mirsad Bektic,150,-170,True,2.5,0.0,320,6,0.0,-1,1,-1,0,-2,2019-07-13,False,Featherweight,MALE,3,KO/TKO,1,0,2,4,1,16,0,2,1,6,Orthodox,172.72,177.8,28,12,0,1,2,2,18,0,2,0,5,Orthodox,167.64,177.8,34,10
Karl Roberson,Wellington Turman,-220,180,True,1.4545,0.0,-400,6,5.0800000000000125,0,2,0,1,0,2019-07-13,False,Middleweight,MALE,3,S-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,22,20,1,0,1,2,6,0,0,1,0,Southpaw,185.42,187.96,28,20
Marvin Vettori,Cezar Ferreira,-220,180,True,1.4545,0.0,-400,-9,-10.159999999999997,-7,-3,0,0,0,2019-07-13,False,Middleweight,MALE,3,U-DEC,3,1,0,3,5,31,0,0,3,9,Southpaw,185.42,198.12,34,20,1,0,1,2,13,0,0,1,2,Southpaw,182.88,187.96,25,20
Andre Fili,Sheymon Moraes,-160,140,True,1.625,0.0,-300,1,5.0800000000000125,5,3,1,-1,0,2019-07-13,False,Featherweight,MALE,3,KO/TKO,1,1,0,2,2,12,0,0,0,2,Orthodox,172.72,182.88,28,20,0,1,2,5,30,0,2,0,7,Orthodox,180.34,187.96,29,20
Julianna Pena,Nicco Montano,-250,210,True,1.4,0.0,-460,-1,10.159999999999997,3,1,-1,1,0,2019-07-13,False,Women's Bantamweight,FEMALE,3,U-DEC,3,0,1,1,0,5,1,0,0,1,Southpaw,165.1,165.1,30,20,1,0,4,1,10,0,2,0,4,Orthodox,167.64,175.26,29,20
Darren Elkins,Ryan Hall,-115,-105,False,0.0,1.9524,-10,1,2.539999999999992,11,6,-3,2,0,2019-07-13,False,Featherweight,MALE,3,U-DEC,3,0,3,3,0,7,0,0,1,3,Orthodox,177.8,177.8,34,20,2,0,6,6,51,0,3,1,14,Orthodox,177.8,180.34,35,20
Liu Pingyuan,Jonathan Martinez,-220,180,False,0.0,2.8,-400,1,5.079999999999984,1,-1,1,0,0,2019-07-13,False,Bantamweight,MALE,3,KO/TKO,3,0,1,1,1,6,0,0,0,1,Southpaw,172.72,177.8,25,20,0,2,2,0,6,0,0,0,2,Orthodox,167.64,182.88,26,20
Livinha Souza,Brianna Van Buren,-115,-105,False,0.0,1.9524,-10,3,2.5400000000000205,1,0,2,0,0,2019-07-13,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Southpaw,152.4,157.48,25,20,0,2,2,0,4,0,0,1,1,Orthodox,160.02,160.02,28,20
Benito Lopez,Vince Morales,-105,-105,True,1.9524,0.0,0,-3,7.619999999999976,0,0,-1,1,0,2019-07-13,False,Bantamweight,MALE,3,U-DEC,3,0,1,1,1,6,0,0,0,1,Orthodox,170.18,177.8,28,20,1,0,1,1,4,0,0,0,1,Switch,177.8,185.42,25,20
Jon Jones,Thiago Santos,-670,485,True,1.1493,0.0,-1155,-4,20.32000000000002,5,-4,11,0,-3,2019-07-06,True,Light Heavyweight,MALE,5,S-DEC,5,0,4,4,5,32,0,11,0,13,Orthodox,187.96,193.04,35,3,0,15,15,1,63,13,5,5,18,Orthodox,193.04,213.36,31,0
Amanda Nunes,Holly Holm,-360,300,True,1.2778,0.0,-660,-6,0.0,6,-2,7,0,-2,2019-07-06,True,Women's Bantamweight,FEMALE,5,KO/TKO,1,0,1,3,4,34,4,2,0,5,Southpaw,172.72,175.26,37,2,0,8,8,2,26,5,7,2,11,Orthodox,172.72,175.26,31,0
Jorge Masvidal,Ben Askren,180,-220,True,2.8,0.0,400,0,2.5400000000000205,14,7,0,0,-1,2019-07-06,False,Welterweight,MALE,3,KO/TKO,1,0,1,1,0,1,0,0,1,1,Orthodox,180.34,185.42,34,5,0,1,4,7,61,0,5,1,15,Orthodox,180.34,187.96,34,4
Jan Blachowicz,Luke Rockhold,220,-260,True,3.2,0.0,480,2,2.539999999999992,-9,2,0,0,-14,2019-07-06,False,Light Heavyweight,MALE,3,KO/TKO,2,1,0,9,3,34,3,6,7,15,Southpaw,190.5,195.58,34,20,1,0,4,5,29,0,1,2,6,Orthodox,187.96,198.12,36,6
Diego Sanchez,Michael Chiesa,315,-380,False,0.0,1.2632,695,6,-7.6200000000000045,13,7,1,0,0,2019-07-06,False,Welterweight,MALE,3,U-DEC,3,0,1,3,4,24,0,0,6,8,Southpaw,185.42,190.5,31,20,0,2,9,11,80,1,6,2,21,Southpaw,177.8,182.88,37,20
Gilbert Melendez,Arnold Allen,260,-320,False,0.0,1.3125,580,2,7.619999999999976,12,7,-5,4,0,2019-07-06,False,Featherweight,MALE,3,U-DEC,3,0,5,5,0,15,0,0,2,5,Southpaw,172.72,177.8,35,20,4,0,8,7,74,2,8,0,17,Orthodox,175.26,185.42,37,20
Marlon Vera,Nohelin Hernandez,-470,375,True,1.2128,0.0,-845,1,-2.539999999999992,7,4,3,0,0,2019-07-06,False,Bantamweight,MALE,3,SUB,2,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,25,20,0,3,3,4,28,0,3,3,7,Switch,172.72,177.8,26,20
Alejandro Perez,Song Yadong,185,-225,False,0.0,1.4444,410,8,0.0,4,2,-3,1,-6,2019-07-06,False,Bantamweight,MALE,3,KO/TKO,1,0,3,3,0,6,0,1,1,3,Orthodox,172.72,170.18,21,20,1,0,4,2,24,0,3,0,7,Orthodox,167.64,170.18,29,14
Edmen Shahbazyan,Jack Marshman,-570,480,True,1.1754,0.0,-1050,-8,2.5400000000000205,-1,-3,1,0,0,2019-07-06,False,Middleweight,MALE,3,SUB,1,0,1,1,3,14,0,1,0,3,Orthodox,182.88,185.42,29,20,0,2,2,0,4,0,1,0,2,Orthodox,187.96,187.96,21,20
Ismail Naurdiev,Chance Rencountre,-570,435,False,0.0,5.35,-1005,0,-2.539999999999992,0,-1,0,0,0,2019-07-06,False,Welterweight,MALE,3,U-DEC,3,0,1,1,1,4,0,0,1,1,Southpaw,187.96,190.5,32,20,0,1,1,0,3,0,0,0,1,Orthodox,177.8,187.96,32,20
Julia Avila,Pannie Kianzad,-250,210,True,1.4,0.0,-460,4,5.0800000000000125,0,-1,0,-1,0,2019-07-06,False,Women's Bantamweight,FEMALE,3,U-DEC,3,1,0,0,1,2,0,0,0,0,Orthodox,170.18,167.64,27,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,31,20
Francis Ngannou,Junior Dos Santos,-220,180,True,1.4545,0.0,-400,-3,15.23999999999998,-7,-2,-1,0,-1,2019-06-29,False,Heavyweight,MALE,5,KO/TKO,1,0,3,9,4,51,5,10,0,15,Orthodox,193.04,195.58,35,3,0,2,6,2,21,1,7,1,8,Orthodox,193.04,210.82,32,2
Jussier Formiga,Joseph Benavidez,105,-125,False,0.0,1.8,230,0,5.0800000000000125,-11,-1,2,0,-1,2019-06-29,False,Flyweight,MALE,3,KO/TKO,2,0,2,6,5,63,2,5,4,20,Southpaw,162.56,165.1,34,2,0,4,4,4,32,0,0,3,9,Orthodox,165.1,170.18,34,1
Roosevelt Roberts,Vinc Pichel,-245,205,False,0.0,3.05,-450,-11,2.539999999999992,-2,-2,2,-1,0,2019-06-29,False,Lightweight,MALE,3,U-DEC,3,1,0,4,2,13,0,1,0,4,Orthodox,177.8,182.88,36,20,0,2,2,0,4,0,0,1,2,Orthodox,187.96,185.42,25,20
Drew Dober,Marco Polo Reyes,-430,345,True,1.2326,0.0,-775,-4,-2.539999999999992,3,3,0,0,0,2019-06-29,False,Lightweight,MALE,3,KO/TKO,1,1,0,3,2,11,0,3,0,4,Orthodox,180.34,180.34,34,20,1,0,3,5,26,0,3,1,7,Southpaw,172.72,177.8,30,20
Alonzo Menifield,Paul Craig,-350,290,True,1.2857,0.0,-640,0,0.0,-2,-3,0,0,0,2019-06-29,False,Light Heavyweight,MALE,3,KO/TKO,1,0,1,1,3,13,0,0,3,3,Orthodox,190.5,193.04,31,20,0,1,1,0,1,0,1,0,1,Orthodox,182.88,193.04,31,20
Ricardo Ramos,Journey Newson,-380,315,True,1.2632,0.0,-695,-7,12.699999999999989,3,1,0,1,0,2019-06-29,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,30,20,1,0,3,1,10,0,1,0,3,Orthodox,175.26,182.88,23,20
Eryk Anders,Vinicius Moreira,-300,250,True,1.3333,0.0,-550,2,-2.539999999999992,3,3,0,2,0,2019-06-29,False,Light Heavyweight,MALE,3,KO/TKO,1,1,0,0,1,1,0,0,0,0,Orthodox,193.04,193.04,30,20,3,0,2,4,21,0,2,0,3,Southpaw,185.42,190.5,32,20
Jared Gordon,Dan Moret,-350,290,True,1.2857,0.0,-640,-2,-12.699999999999989,2,0,0,0,0,2019-06-29,False,Lightweight,MALE,3,U-DEC,3,2,0,0,2,5,0,0,0,0,Southpaw,182.88,185.42,32,20,2,0,2,2,9,0,1,0,2,Orthodox,175.26,172.72,30,20
Dalcha Lungiambula,Dequan Townsend,-420,335,True,1.2381,0.0,-755,-2,-7.6200000000000045,0,0,0,0,0,2019-06-29,False,Light Heavyweight,MALE,3,KO/TKO,3,0,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,33,20,0,0,0,0,0,0,0,0,0,Orthodox,172.72,193.04,31,20
Emily Whitmire,Amanda Ribas,-175,155,False,0.0,2.55,-330,3,-7.619999999999976,2,1,2,0,0,2019-06-29,False,Women's Strawweight,FEMALE,3,SUB,2,0,0,0,0,0,0,0,0,0,Orthodox,160.02,167.64,25,20,0,2,2,1,5,0,0,1,2,Orthodox,165.1,160.02,28,20
Maurice Greene,Junior Albini,-125,105,True,1.8,0.0,-230,4,15.23999999999998,1,-3,2,-3,0,2019-06-29,False,Heavyweight,MALE,3,KO/TKO,1,3,0,1,3,7,0,1,0,1,Orthodox,190.5,187.96,28,20,0,2,2,0,4,0,0,1,2,Orthodox,200.66,203.2,32,20
Renato Moicano,Chan Sung Jung,-220,180,False,0.0,2.8,-400,-2,0.0,1,-2,0,0,-7,2019-06-22,False,Featherweight,MALE,3,KO/TKO,1,1,0,3,4,22,1,2,2,4,Orthodox,170.18,182.88,32,12,1,0,3,2,17,0,0,2,5,Orthodox,180.34,182.88,30,5
Bryan Barberena,Randy Brown,-235,195,False,0.0,2.95,-430,2,-15.240000000000009,1,1,0,0,0,2019-06-22,False,Welterweight,MALE,3,KO/TKO,3,1,0,2,3,18,0,1,1,4,Orthodox,190.5,198.12,28,20,1,0,2,4,22,0,3,1,5,Southpaw,182.88,182.88,30,20
Andre Ewell,Anderson Dos Santos,-140,120,True,1.7143,0.0,-260,-2,12.699999999999989,1,0,0,0,0,2019-06-22,False,Bantamweight,MALE,3,U-DEC,3,1,0,0,1,3,0,0,0,0,Orthodox,165.1,177.8,33,20,1,0,1,1,6,0,0,0,1,Southpaw,172.72,190.5,31,20
Andrea Lee,Montana De La Rosa,-185,160,True,1.5405,0.0,-345,6,2.539999999999992,-1,0,-1,0,-1,2019-06-22,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,3,3,0,6,0,0,3,3,Orthodox,170.18,172.72,24,11,0,2,2,0,6,0,0,0,2,Orthodox,167.64,175.26,30,10
Kevin Holland,Alessio Di Chirico,-230,190,True,1.4348,0.0,-420,-3,17.78,-1,-1,0,0,0,2019-06-22,False,Middleweight,MALE,3,U-DEC,3,0,2,2,2,12,0,1,0,3,Orthodox,182.88,187.96,29,20,0,2,2,1,9,0,0,1,2,Orthodox,190.5,205.74,26,20
Dan Ige,Kevin Aguilar,120,-140,True,2.2,0.0,260,-3,-5.079999999999984,1,1,1,0,0,2019-06-22,False,Featherweight,MALE,3,U-DEC,3,0,2,2,0,6,0,0,0,2,Orthodox,170.18,185.42,30,20,0,3,3,1,8,0,1,1,3,Orthodox,170.18,180.34,27,20
Ashley Yoder,Syuri Kondo,-140,120,True,1.7143,0.0,-260,1,7.6200000000000045,0,1,1,-2,0,2019-06-22,False,Women's Strawweight,FEMALE,3,U-DEC,3,2,0,1,2,7,0,0,0,1,Orthodox,162.56,167.64,30,20,0,1,1,3,12,0,0,0,1,Southpaw,170.18,175.26,31,20
Matt Wiman,Luis Pena,315,-380,False,0.0,1.2632,695,10,-17.78,8,4,0,0,0,2019-06-22,False,Lightweight,MALE,3,KO/TKO,3,0,1,1,1,7,0,0,1,2,Southpaw,190.5,190.5,25,20,0,1,4,5,33,0,2,3,10,Orthodox,177.8,172.72,35,20
Allen Crowder,Jairzinho Rozenstruik,190,-230,False,0.0,1.4348,420,-2,-5.0800000000000125,0,1,0,0,0,2019-06-22,False,Heavyweight,MALE,3,KO/TKO,1,0,1,1,0,2,0,1,0,1,Orthodox,193.04,198.12,31,20,0,1,1,1,3,0,0,0,1,Orthodox,190.5,193.04,29,20
Ariane Lipski,Molly McCann,-255,215,False,0.0,3.15,-470,-4,12.700000000000017,-1,0,-1,1,0,2019-06-22,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,1,1,1,5,0,0,0,1,Orthodox,162.56,157.48,29,20,1,0,0,1,3,0,0,0,0,Orthodox,167.64,170.18,25,20
Deron Winn,Eric Spicely,-360,300,True,1.2778,0.0,-660,-2,-7.619999999999976,-2,-4,0,-3,0,2019-06-22,False,Middleweight,MALE,3,U-DEC,3,3,0,2,4,9,0,0,2,2,Orthodox,185.42,185.42,32,20,0,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,30,20
